alias_address,alias_city,urlReport
Via Monterosa - Angera,Angera - Magazzino Monterosa,http://www.alfasii.it/files/pdf/punti_di_prelievo/Angera-Magazzino_Monterosa.pdf
Piazza Garibaldi - Angera,Angera - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Angera-Municipio_P.zza_Garibaldi.pdf
Via Bruschera - Angera,Angera - Parco Giochi Bruschera,https://www.alfasii.it/files/pdf/punti_di_prelievo/Angera-Parco_giochi_Via_Bruschera.pdf
Via Roncaccio - Arsago Seprio,Arsago Seprio - Cimitero Roncaccio,https://www.alfasii.it/files/pdf/punti_di_prelievo/ArsagoSeprio-Via_Roncaccio.pdf
Via A.Camera - Bardello,Bardello - Fontanella,https://www.alfasii.it/files/pdf/punti_di_prelievo/Bardello-Fontanella_Via_A_Camera_Bardello.pdf
Via IV Novembre - Bardello,Bardello - Fontanella,http://www.alfasii.it/files/pdf/punti_di_prelievo/Bardello_Via_IV_Novembre.pdf
Piazza Garibaldi 14 - Bardello,Bardello - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Bardello-Municipio_P.zza_Garibaldi.pdf
Via Boccaccio - Besozzo,Besozzo - Bacino Boccaccio,http://www.alfasii.it/files/pdf/punti_di_prelievo/Besozzo_Bacino_Boccaccio.pdf
Besozzo,Besozzo - Bacino Ingorio,http://www.alfasii.it/files/pdf/punti_di_prelievo/Besozzo_Bacino_Ingorio.pdf
Via Premunera - Besozzo,Besozzo - Bacino Premunera,http://www.alfasii.it/files/pdf/punti_di_prelievo/Besozzo_Bacino_Premunera.pdf
Via del Pozzo - Besozzo,Besozzo - Bacino Repui,http://www.alfasii.it/files/pdf/punti_di_prelievo/Besozzo_Bacino_Repui.pdf
Via S. Michele - Besozzo,Besozzo - Cimitero Bogno,https://www.alfasii.it/files/pdf/punti_di_prelievo/Besozzo-Via_S.Michele_ang.Via_Degli_Alpini.pdf
Via Beolchi - Besozzo,Besozzo - Cimitero Cardana,https://www.alfasii.it/files/pdf/punti_di_prelievo/Besozzo-Via_Beolchi.pdf
Via Gaggio - Besozzo,Besozzo - Cimitero Olginasio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Besozzo-Via_della_Pezza_incr._Via_del_Gaggio_.pdf
Via Gorini - Besozzo,Besozzo - Valle debatterizzatore,https://www.alfasii.it/files/pdf/punti_di_prelievo/Besozzo-Via_Gorini_valle_debatterizzatore.pdf
Via V. Veneto - Biandronno,Biandronno - Cassinetta Centro Diurno,https://www.alfasii.it/files/pdf/punti_di_prelievo/Biandronno-Via_Vittorio_Veneto.pdf
Via Rimembranze - Biandronno,Biandronno - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/Biandronno-Cimitero_V.le_Rimembranze.pdf
"Piazza Cavour, 4 - Biandronno",Biandronno - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Biandronno_Municipio.pdf
Via Pasubio - Brebbia,Brebbia - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Brebbia-Municipio_Via_Pasubio.pdf
"Via Piave, 39 - Bregano",Bregano - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Bregano-Municipio_Via_Piave.pdf
Via S. Maria 7 - Brunello,Brunello - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/Brunello-Via_S.Maria.pdf
Piazza Ballerio - Brunello,Brunello - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Brunello-P.zza_Ballerio.pdf
Via Piermarini - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-Via_Piermarini.pdf
Via Palermo - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-Via_Palermo.pdf
Viale Trentino - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-V.le_Trentino.pdf
Via Lualdi - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-Via_Lualdi.pdf
Via Azimonti - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-Via_Azzimonti.pdf
Viale dell'Industria/Via Tosi - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-Via_Tosi.pdf
Via Stradella - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-Via_Stradella.pdf
Via Don Guanella - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-Via_Don_Guanella_.pdf
Piazza S. Giovanni XXIII - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-P.zza_S.Giovanni_XXIII.pdf
Via B. da Busto - Busto Arsizio,Busto Arsizio,https://www.alfasii.it/files/pdf/punti_di_prelievo/BustoArsizio-Via_B.Da_Busto.pdf
Via Matteotti - Cadrezzate,Cadrezzate - rete Matteotti,https://www.alfasii.it/files/pdf/punti_di_prelievo/Cadrezzate-Via_Matteotti.pdf
Via Cattaneo - Cairate,Cairate,https://www.alfasii.it/files/pdf/punti_di_prelievo/Cairate-Via_Cattaneo.pdf
Piazza Liberta' - Cairate,Cairate - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Cairate-Piazza_Liberta.pdf
Piazza Mazzini - Cardano al Campo,Cardano al Campo - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/CardanoAlCampo-P.zza_Giuseppe_Mazzini.pdf
Via Roma 6 - Casale Litta,Casale Litta - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/CasaleLitta-Municipio-Via_Roma.pdf
Via Don Antonio Corti - Casale Litta,Casale Litta - Scuola Infanzia,https://www.alfasii.it/files/pdf/punti_di_prelievo/CasaleLitta-Via_Don_A.Corti_Villadosia.pdf
Via F.lli Cervi - Casale Litta,Casale Litta - Scuola Primaria,https://www.alfasii.it/files/pdf/punti_di_prelievo/CasaleLitta-Via_F.lli_Cervi.pdf
Via Roma 103 - Casorate Sempione,Casorate Sempione Cimitero Comunale,https://www.alfasii.it/files/pdf/punti_di_prelievo/CasorateS-Via_Roma.pdf
Via De Amicis - Casorate Sempione,Casorate Sempione Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/CasorateS-Via_Edmondo_de_Amicis.pdf
Viale Rimembranze 41 - Cassano Magnago,Cassano Magnago - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/CassanoMgo-V.le_Rimembranze.pdf
Via Volta - Cassano Magnago,Cassano Magnago - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/CassanoMgo-Via_Volta_.pdf
Via San Giuseppe 1 Castelseprio,Castelseprio - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Castelseprio-Via_S._Giuseppe.pdf
Via San Giuseppe ang. Via Montegrappa Castelseprio,Castelseprio fontanella Piazza Mercato,https://www.alfasii.it/files/pdf/punti_di_prelievo/Castelseprio-Via_S.Giuseppe_ang._Via_Montegrappa.pdf
Via Mons. Maurizio Galli - Castiglione Olona,Castiglione Olona Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/CastiglioneOlona-Via_Monsignor_Maurizio_Galli.pdf
Via G. Marconi 5 - Castiglione Olona,Castiglione Olona Scuola Infanzia,https://www.alfasii.it/files/pdf/punti_di_prelievo/CastiglioneOlona-Via_Guglielmo_Marconi.pdf
Via Castiglioni Branda 6 - Castiglione Olona,Castiglione Olona Scuola Media,https://www.alfasii.it/files/pdf/punti_di_prelievo/CastiglioneOlona-Via_Castiglion_Branda.pdf
Via Minniti 148 - Cavaria con Premezzo,Cavaria - Cimitero Premezzo,https://www.alfasii.it/files/pdf/punti_di_prelievo/Cavaria-Via_Tito_Minniti.pdf
Piazza Marconi 1 Comabbio,Comabbio - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Comabbio-Municipio_P.zza_G._Marconi_.pdf
Via Risorgimento - Crosio della Valle,Crosio della Valle - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/CrosioDellaValle-Via_Risorgimento.pdf
Via IV Novembre - Crosio della Valle,Crosio della Valle - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/CrosioDellaValle-Via_IV_Novembre.pdf
Via XXV Aprile Fagnano Olona,Fagnano Olona,https://www.alfasii.it/files/pdf/punti_di_prelievo/FagnanoOl-Via_XXV_Aprile.pdf
Via Dante Alighieri - Fagnano Olona,Fagnano Olona,https://www.alfasii.it/files/pdf/punti_di_prelievo/FagnanoOl-Via_Dante_.pdf
Via Rovereto - Fagnano Olona,Fagnano Olona,https://www.alfasii.it/files/pdf/punti_di_prelievo/FagnanoOl-Via_Rovereto.pdf
Via Arcobaleno - Ferno,Ferno - Asilo Nido,https://www.alfasii.it/files/pdf/punti_di_prelievo/Ferno-Via_Arcobaleno.pdf
Via 5 Martiri - Ferno,Ferno - Scuola Elementare,https://www.alfasii.it/files/pdf/punti_di_prelievo/Ferno-Via_5_Martiri.pdf
Via Marco Polo - Ferno,Ferno - Scuola Media,https://www.alfasii.it/files/pdf/punti_di_prelievo/Ferno-Via_Marco_Polo.pdf
Via Pascoli Gallarate,Gallarate - Crenna,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gallarate-Via_Pascoli.pdf
Via delle Rose - Gallarate,Gallarate - Parco delle Rose,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gallarate-Parco_delle_Rose.pdf
Via XXII Marzo - Arnate,Gallarate Cimitero Arnate,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gallarate-Via_XXII_Marzo.pdf
Via della Pietà 24 - Gallarate,Gallarate Cimitero Cajello,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gallarate-Via_della_Pieta.pdf
Via Monte Santo - Cedrate,Gallarate Cimitero Cedrate,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gallarate-Via_Monte_Santo.pdf
Via De Magri - Gallarate,Gallarate Cimitero Centro,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gallarate-V.le_Milano_.pdf
Via Bravo Livio - Gavirate,Gavirate Fontana,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gavirate-Via_Livio_Bravo.pdf
Via Garoni - Gavirate,Gavirate Fontana,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gavirate-Via_Garoni.pdf
Via Piave - Gavirate,Gavirate Fontana Loc. Beut,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gavirate-Via_Piave_Loc._Beut.pdf
Via dello Sport - Gavirate,Gavirate Idrante,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gavirate-Via_dello_Sport.pdf
Via Sassello - Gavirate,Gavirate Parco Morselli,https://www.alfasii.it/files/pdf/punti_di_prelievo/Gavirate-Parco_Morselli.pdf
Via Matteotti - Golasecca,Golasecca - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/Golasecca-Via_Matteotti.pdf
Piazza Libertà - Golasecca,Golasecca Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Golasecca-P.zza_Liberta.pdf
Via Roma ang. Via Sanzio - Gorla Maggiore,Gorla Maggiore - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/GorlaMag-Via_Roma.pdf
Via Dante Alighieri - Gorla Maggiore,Gorla Maggiore - Presa,https://www.alfasii.it/files/pdf/punti_di_prelievo/GorlaMag-via_Dante.pdf
Via Toti Gorla Maggiore,Gorla Maggiore - Presa Via Toti,https://www.alfasii.it/files/pdf/punti_di_prelievo/GorlaMag-Via_Toti.pdf
Via Ambrogio Colombo - Gorla Minore,Gorla Minore,https://www.alfasii.it/files/pdf/punti_di_prelievo/GorlaMin-Via_Ambrogio_Colombo.pdf
Via Deserto - Gorla Minore,Gorla Minore - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/GorlaMin-Via_Deserto.pdf
Via Girolo 54 Ispra,Ispra - Comitato Cascine,https://www.alfasii.it/files/pdf/punti_di_prelievo/Ispra-Via_Girolo_54.pdf
Via Enrico Fermi 751 Ispra,Ispra - rete segheria,https://www.alfasii.it/files/pdf/punti_di_prelievo/Ispra-Via_E.Fermi.pdf
Piazza Carlo Locatelli Ispra,Ispra - Scuole Medie,https://www.alfasii.it/files/pdf/punti_di_prelievo/Ispra-Sc.P.zza_Locatelli.pdf
Via E. Fermi 24 - Laveno Mombello,Laveno Mombello - Asilo,https://www.alfasii.it/files/pdf/punti_di_prelievo/LavenoM-Via_E._Fermi.pdf
Cerro - Laveno Mombello,Laveno Mombello - Cerro Lungo Lago,https://www.alfasii.it/files/pdf/punti_di_prelievo/LavenoM-Lungo_lago_Cerro.pdf
Via Roma 16/A - Laveno Mombello,Laveno Mombello - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/LavenoM-Via_Roma.pdf
Via L. Bellorini - Laveno Mombello,Laveno Mombello - Parco Alpini Bagno,https://www.alfasii.it/files/pdf/punti_di_prelievo/LavenoM-Via_Bellorini.pdf
Arolo - Leggiuno,Leggiuno - Arolo (Fontana),https://www.alfasii.it/files/pdf/punti_di_prelievo/Leggiuno-_Fontanella_Arolo.pdf
Reno - Leggiuno,Leggiuno - loc. Reno,https://www.alfasii.it/files/pdf/punti_di_prelievo/Leggiuno-_Reno.pdf
Piazza G. Marconi- Leggiuno,Leggiuno - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Leggiuno-P.zza_Guglielmo_Marconi.pdf
Piazza Matteotti - Lonate Ceppino,Lonate Ceppino - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/LonateCeppino-P.zza_Matteotti.pdf
Via Volta - Lonate Pozzolo,Lonate Pozzolo - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/LonatePozzolo-Via_Volta.pdf
Via Rimembranze - Lonate Pozzolo,Lonate Pozzolo - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/LonatePozzolo-Via_Rimembranze.pdf
Via Pisa - Lonate Pozzolo,Lonate Pozzolo - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/LonatePozzolo-Via_Pisa.pdf
Viale Rimembranze - Malgesso,Malgesso Scuola Elementare,https://www.alfasii.it/files/pdf/punti_di_prelievo/Malgesso-Sc.Via_Rimembranze.pdf
Via Genova - Marnate,Marnate - rete colonna stradale,https://www.alfasii.it/files/pdf/punti_di_prelievo/Marnate-Via_Genova_.pdf
Via Tanaro - Marnate,Marnate - rete colonna stradale,https://www.alfasii.it/files/pdf/punti_di_prelievo/Marnate-Via_Tanaro.pdf
Via Cesare Battisti - Marnate,Marnate - rete colonna stradale,https://www.alfasii.it/files/pdf/punti_di_prelievo/Marnate-Via_C.Battisti.pdf
Via Cascina Risaia - Mornago,Mornago - Cimitero Crugnola,https://www.alfasii.it/files/pdf/punti_di_prelievo/Mornago-Via_Cascina_Risaia.pdf
Via Dante Alighieri - Mornago,Mornago - Cimitero Montonate,https://www.alfasii.it/files/pdf/punti_di_prelievo/Mornago-Via_Dante.pdf
"Piazza Libertà, 1 - Mornago",Mornago Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Mornago-P.zza_Liberta_1.pdf
"Via Bonacalza, 135 - Oggiona Santo Stefano",Oggiona S. Stefano - casa dell'acqua,https://www.alfasii.it/files/pdf/punti_di_prelievo/OggiornaSS-Casa_dellacqua.pdf
"P.zza Risorgimento, 1 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Elementare C. Battisti,https://www.alfasii.it/files/pdf/punti_di_prelievo/OggiornaSSVia_Risorgimento.pdf
Via Marconi - Oggiona Santo Stefano,Oggiona S. Stefano - Sc. Elementare Cantore,https://www.alfasii.it/files/pdf/punti_di_prelievo/OggiornaSS-Via_Marconi.pdf
"Via Aldo Moro, 6 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Materna Maria Immacolata,https://www.alfasii.it/files/pdf/punti_di_prelievo/OggiornaSS-Via_Aldo_Moro.pdf
"Via Asilo, 2 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Materna Speri Castellini,https://www.alfasii.it/files/pdf/punti_di_prelievo/OggiornaSS-Via_Asilo_2.pdf
Via Oriani - Olgiate Olona,Olgiate Olona - colonna stradale,https://www.alfasii.it/files/pdf/punti_di_prelievo/OlgiateOl-Via_Oriani.pdf
Via Pascoli (Angolo via Feltre) - Olgiate Olona,Olgiate Olona - colonna stradale,https://www.alfasii.it/files/pdf/punti_di_prelievo/OlgiateOl-Via_Pascoli_ang._via_Feltre.pdf
Via Unità d'Italia - Olgiate Olona,Olgiate Olona - colonna stradale,https://www.alfasii.it/files/pdf/punti_di_prelievo/OlgiateOl-Via_Unita_dItalia.pdf
Via Maggiore - Osmate,Osmate - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/Osmate-Cimitero_Via_Maggiore_.pdf
Lungo Lago Dino Ciani - Ranco,Ranco,https://www.alfasii.it/files/pdf/punti_di_prelievo/Ranco-Via_Lungo_Lago_Dino_Ciani.pdf
Via Roma - Ranco,Ranco,https://www.alfasii.it/files/pdf/punti_di_prelievo/Ranco-Via_Roma.pdf
Via Pola ang. Via Ferrini - Samarate,Samarate - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/Samarate-Via_Pola_ang._Via_Ferrini.pdf
Via del Noce ang. Via Monteberico - Samarate,Samarate - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/Samarate-Via_Del_Noce_ang._Via_Moneberico.pdf
Via Vittorio Veneto ang. Via Fiume - Samarate,Samarate - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/Samarate-Via_Vittorio_Veneto_ang._Via_Fiume.pdf
Viale Augusta ang. Via Bellini - Samarate,Samarate - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/Samarate-Via_Augusta_ang._Via_Bellini.pdf
Via Indipendenza ang. Via Locarno- Samarate,Samarate - Colonnina,https://www.alfasii.it/files/pdf/punti_di_prelievo/Samarate-Via_Indipendenza_ang._Via_Locarno.pdf
Via Oriano - Sesto Calende,Sesto Calende,https://www.alfasii.it/files/pdf/punti_di_prelievo/SestoC-Via_Oriano_.pdf
Via Angera ang. Via Cucchino - Sesto Calende,Sesto Calende - Colonina,https://www.alfasii.it/files/pdf/punti_di_prelievo/SestoC-Via_Angera_ang._Via_Cucchino.pdf
Via Risorgimento - Sesto Calende,Sesto Calende - Colonina,https://www.alfasii.it/files/pdf/punti_di_prelievo/SestoC-Via_Risorgimento_.pdf
Via Lentate ang. Via Grisoni- Sesto Calende,Sesto Calende - punto rete,https://www.alfasii.it/files/pdf/punti_di_prelievo/SestoC-Via_Lentate.pdf
Via Repubblica - Somma Lombardo,Somma Lombardo - Centro,https://www.alfasii.it/files/pdf/punti_di_prelievo/SommaLdo-Via_Repubblica_ang.Via_Novara.pdf
Via de Pinedo - Somma Lombardo,Somma Lombardo - Fraz. Case Nuove,https://www.alfasii.it/files/pdf/punti_di_prelievo/SommaLdo-Via_de_Pinedo.pdf
Via Orsa - Somma Lombardo,Somma Lombardo - Fraz. Coarezza,https://www.alfasii.it/files/pdf/punti_di_prelievo/SommaLdo-Via_Orsa_.pdf
Via Papa Giovanni XXIII - Somma Lombardo,Somma Lombardo - Fraz. Maddalena,https://www.alfasii.it/files/pdf/punti_di_prelievo/SommaLdo-Via_Papa_Giovanni_XXIII.pdf
Via Beltramolli - Somma Lombardo,Somma Lombardo - Fraz. Mezzana,https://www.alfasii.it/files/pdf/punti_di_prelievo/SommaLdo-Via_Beltramolli.pdf
Sumirago,Sumirago - Casa dell'Acqua,https://www.alfasii.it/files/pdf/punti_di_prelievo/Sumirago-Casa_dellacqua.pdf
Via Luigi Rossi - Sumirago,Sumirago - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/Sumirago-Via_Luigi_Rossi.pdf
Via de Gasperi - Sumirago,Sumirago - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/Sumirago-Via_De_Gasperi.pdf
Via Campagna - Sumirago,Sumirago - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/Sumirago-Via_Campagna.pdf
Via Carducci - Sumirago,Sumirago - Scuola Elementare Manzoni,https://www.alfasii.it/files/pdf/punti_di_prelievo/Sumirago-Via_Carducci.pdf
Via Cesare Battisti - Taino,Taino - Asilo Nido,https://www.alfasii.it/files/pdf/punti_di_prelievo/Taino-Via_Cesare_Battisti.pdf
Piazza Pajetta 5 - Taino,Taino - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Taino-P.zza_Oreste_Paietta.pdf
Piazza della Repubblica - Travedona Monate,Travedona Monate - Fontanella,https://www.alfasii.it/files/pdf/punti_di_prelievo/TravedonaM-P.zza_della_Repubblica.pdf
Via Don Luigi Sturzo 40 - Travedona Monate,Travedona Monate - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/TravedonaM-Via_Don_Sturzo_40.pdf
Via A. Manzoni Varano Borghi,Varano Borghi - Cimitero,https://www.alfasii.it/files/pdf/punti_di_prelievo/VaranoBorghi-Cimitero_Via_Manzoni.pdf
Via N. Sauro - Varano Borghi,Varano Borghi - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/VaranoBorghi-Municipio_Via_Nazario_Sauro.pdf
"Via Damiano Chiesa, 26 - Venegono Inferiore",Venegono Inferiore - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/VenegonoInf-Via_Damiano_Chiesa.pdf
Pianbosco - Venegono Inferiore,Venegono Inferiore - Rete Pianbosco,https://www.alfasii.it/files/pdf/punti_di_prelievo/VenegonoInf-Via_E.Fermi_.pdf
Via Pasubio - Venegono Superiore,Venegono Superiore - Parco Pratone,https://www.alfasii.it/files/pdf/punti_di_prelievo/VenegonoSup-Via_Paubio.pdf
Piazza Mauceri - Venegono Superiore,Venegono Superiore - punto rete Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/VenegonoSup-P.zza_Mauceri.pdf
Via Cuirone - Vergiate,Vergiate - Cimitero De Amicis,https://www.alfasii.it/files/pdf/punti_di_prelievo/Vergiate-Via_Quirone.pdf
Via per Sesto Calende - Vergiate,Vergiate - Cimitero Posorti,https://www.alfasii.it/files/pdf/punti_di_prelievo/Vergiate-Via_per_Sesto_Calende_.pdf
Via Fratelli Rosselli - Vergiate,Vergiate - Cimitero Rosselli,https://www.alfasii.it/files/pdf/punti_di_prelievo/Vergiate-Via_F.lli_Rosselli.pdf
Via Cavallotti - Vergiate,Vergiate - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/Vergiate-Via_f.lli_Cavallotti.pdf
Piazza Marconi - Vizzola Ticino,Vizzola Ticino - Municipio,https://www.alfasii.it/files/pdf/punti_di_prelievo/VizzolaT-Municipio_P.zza_Guglielmo_Marconi_.pdf
Via al porto - Vizzola Ticino,Vizzola Ticino - rete al porto,https://www.alfasii.it/files/pdf/punti_di_prelievo/VizzolaT-Via_Al_Porto.pdf
Via San Giulio Vizzola Ticino,Vizzola Ticino - rete San Giulio,https://www.alfasii.it/files/pdf/punti_di_prelievo/VizzolaT-P.zza_S.Giulio.pdf
