location,alias_city,alias_address,georeferencingString,type
CELLATICA: Via Risorgimento : COD.ASL 17048/3R,CELLATICA,Via Risorgimento,"Via Risorgimento, CELLATICA, BS, Lombardia, Italia",POINT
COLLEBEATO: Via San Francesco : COD.ASL 17057/1R ,COLLEBEATO,Via San Francesco,"Via San Francesco, COLLEBEATO, BS, Lombardia, Italia",POINT
Bovezzo : Piazza 28 Maggio ,Bovezzo,Piazza 28 Maggio,"Piazza 28 Maggio, Bovezzo, BS, Lombardia, Italia",POINT
BRESCIA: Via Chiesanuova : COD.ASL 17029/23R ,BRESCIA,Via Chiesanuova,"Via Chiesanuova, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Grandi : COD.ASL 17029/22R ,BRESCIA,Via Grandi,"Via Grandi, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Lama : Mompiano : COD.ASL 17029/26R ,BRESCIA,Via Lama,"Via Lama, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Raffaello : San Polo : COD.ASL 17029/16R ,BRESCIA,Via Raffaello,"Via Raffaello, BRESCIA, BS, Lombardia, Italia",POINT
COLLEBEATO: Campiani : COD.ASL 17057/2R ,COLLEBEATO,Campiani,"Campiani, COLLEBEATO, BS, Lombardia, Italia",POINT
Brescia : Via Casazza,Brescia,Via Casazza,"Via Casazza, Brescia, BS, Lombardia, Italia",POINT
Brescia : Via Sabbioneta,Brescia,Via Sabbioneta,"Via Sabbioneta, Brescia, BS, Lombardia, Italia",POINT
Collebeato : Via Saletto,Collebeato,Via Saletto,"Via Saletto, Collebeato, BS, Lombardia, Italia",POINT
BOVEZZO: Via Canossi : COD.ASL 17025/2R ,BOVEZZO,Via Canossi,"Via Canossi, BOVEZZO, BS, Lombardia, Italia",POINT
BRESCIA: Via Milano : Campo Fiera : COD.ASL 17029/12R ,BRESCIA,Via Milano,"Via Milano, BRESCIA, BS, Lombardia, Italia",POINT
Brescia : Viale Piave,Brescia,Viale Piave,"Viale Piave, Brescia, BS, Lombardia, Italia",POINT
Brescia : Via Niccolo Tommaseo,Brescia,Via Niccolo Tommaseo,"Via Niccolo Tommaseo, Brescia, BS, Lombardia, Italia",POINT
BORGOSATOLLO: Via IV Novembre : Piffione : COD.ASL 17021/4R ,BORGOSATOLLO,Via IV Novembre,"Via IV Novembre, BORGOSATOLLO, BS, Lombardia, Italia",POINT
BRESCIA: Corso Matteotti angolo Corso Garibaldi : COD.ASL 17029/25R ,BRESCIA,Corso Matteotti angolo Corso Garibaldi,"Corso Matteotti angolo Corso Garibaldi, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Piazza della Loggia : COD.ASL 17029/13R ,BRESCIA,Piazza della Loggia,"Piazza della Loggia, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Fiorentini : San Polo : COD.ASL 17029/15R ,BRESCIA,Via Fiorentini,"Via Fiorentini, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Gabbiane : San Bartolomeo : COD.ASL 17029/1R ,BRESCIA,Via Gabbiane,"Via Gabbiane, BRESCIA, BS, Lombardia, Italia",POINT
Cellatica : Via Magenta,Cellatica,Via Magenta,"Via Magenta, Cellatica, BS, Lombardia, Italia",POINT
BOVEZZO: Via Vittorio Veneto : COD.ASL 17025/1R ,BOVEZZO,Via Vittorio Veneto,"Via Vittorio Veneto, BOVEZZO, BS, Lombardia, Italia",POINT
BRESCIA: Via Cremona : Quartiere Leonessa : COD.ASL 17029/5R ,BRESCIA,Via Cremona,"Via Cremona, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Cucca : Sant'Anna : COD.ASL 17029/9R ,BRESCIA,Via Cucca,"Via Cucca, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Piazza : Urago Mella : COD.ASL 17029/8R ,BRESCIA,Via Piazza,"Via Piazza, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Verziano : COD.ASL 17029/21R ,BRESCIA,Via Verziano,"Via Verziano, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via XI : Villaggio Sereno : COD.ASL 17029/20R ,BRESCIA,Via XI,"Via XI, BRESCIA, BS, Lombardia, Italia",POINT
CELLATICA: Via Montebello : COD.ASL 17048/2R ,CELLATICA,Via Montebello,"Via Montebello, CELLATICA, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Via Mascagni,SAN ZENO NAVIGLIO,Via Mascagni,"Via Mascagni, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
Brescia : Via della Palla,Brescia,Via della Palla,"Via della Palla, Brescia, BS, Lombardia, Italia",POINT
LONATO: Via Maguzzano : COD.ASL 17092/8R ,LONATO,Via Maguzzano,"Via Maguzzano, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via Arriga Alta : COD.ASL 17092/1R ,LONATO,Via Arriga Alta,"Via Arriga Alta, LONATO, BS, Lombardia, Italia",POINT
LONATO: Piazzale Gramsci : COD.ASL 17092/10R,LONATO,Piazzale Gramsci,"Piazzale Gramsci, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via Ceruti : Lonatino : COD.ASL 17092/12R,LONATO,Via Ceruti,"Via Ceruti, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via Centenaro : COD.ASL 17092/6R ,LONATO,Via Centenaro,"Via Centenaro, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via Mancino : COD.ASL 17092/11R,LONATO,Via Mancino,"Via Mancino, LONATO, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Arrighini : COD.ASL 17113/2R ,MONTICHIARI,Via Arrighini,"Via Arrighini, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via dell'Artigianato : PIP : COD.ASL 17113/3R ,MONTICHIARI,Via dell'Artigianato,"Via dell'Artigianato, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Lame : Novagli : COD.ASL 17113/7R ,MONTICHIARI,Via Lame,"Via Lame, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Rampina di San Giorgio,MONTICHIARI,Via Rampina di San Giorgio,"Via Rampina di San Giorgio, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Campagnoli : COD.ASL 17113/4R ,MONTICHIARI,Via Campagnoli,"Via Campagnoli, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Bernardino : Rò : COD.ASL 17113/10R ,MONTICHIARI,Via Bernardino,"Via Bernardino, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Boschetti di Mezzo : COD.ASL 17113/5R ,MONTICHIARI,Via Boschetti di Mezzo,"Via Boschetti di Mezzo, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Dugali : San Antonio : COD.ASL 17113/8R ,MONTICHIARI,Via Dugali,"Via Dugali, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Sant'Eurosia : COD.ASL 17113/6R ,MONTICHIARI,Via Sant'Eurosia,"Via Sant'Eurosia, MONTICHIARI, BS, Lombardia, Italia",POINT
Montichiari : Via San Giovanni (Vighizzolo),Montichiari,Via San Giovanni (Vighizzolo),"Via San Giovanni (Vighizzolo), Montichiari, BS, Lombardia, Italia",POINT
Montichiari : Via C. Inico,Montichiari,Via C. Inico,"Via C. Inico, Montichiari, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Marconi,MONTICHIARI,Via Marconi,"Via Marconi, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Monsignor Quaranta,MONTICHIARI,Via Monsignor Quaranta,"Via Monsignor Quaranta, MONTICHIARI, BS, Lombardia, Italia",POINT
Montichiari : Via Carlo Cattaneo (Novagli),Montichiari,Via Carlo Cattaneo (Novagli),"Via Carlo Cattaneo (Novagli), Montichiari, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Allende : COD.ASL 17113/1R ,MONTICHIARI,Via Allende,"Via Allende, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTICHIARI: Via San Giovanni : Vighizzolo : COD.ASL 17113/11R ,MONTICHIARI,Via San Giovanni,"Via San Giovanni, MONTICHIARI, BS, Lombardia, Italia",POINT
CONCESIO: Via Ca' de Bosio : COD.ASL 17061/3R ,CONCESIO,Via Ca' de Bosio,"Via Ca' de Bosio, CONCESIO, BS, Lombardia, Italia",POINT
CONCESIO: Via Due Muri : Roncaglie : COD.ASL 17061/5R,CONCESIO,Via Due Muri,"Via Due Muri, CONCESIO, BS, Lombardia, Italia",POINT
CASTO: Via Piazza : Alone : COD.ASL 17044/8R,CASTO,Via Piazza,"Via Piazza, CASTO, BS, Lombardia, Italia",POINT
Concesio :  Via Pascoli,Concesio,Via Pascoli,"Via Pascoli, Concesio, BS, Lombardia, Italia",POINT
OSPITALETTO: Via Leopardi : COD.ASL 17127/2R ,OSPITALETTO,Via Leopardi,"Via Leopardi, OSPITALETTO, BS, Lombardia, Italia",POINT
MONTIRONE: Piazza Risorgimento : COD.ASL 17114/1R ,MONTIRONE,Piazza Risorgimento,"Piazza Risorgimento, MONTIRONE, BS, Lombardia, Italia",POINT
MONTIRONE: Via Puccini : COD.ASL 17114/3R ,MONTIRONE,Via Puccini,"Via Puccini, MONTIRONE, BS, Lombardia, Italia",POINT
MONTICHIARI: Via Fascia d'Oro : COD.ASL 17113/9R ,MONTICHIARI,Via Fascia d'Oro,"Via Fascia d'Oro, MONTICHIARI, BS, Lombardia, Italia",POINT
MONTIRONE: Via Campagna : COD.ASL 17114/2R ,MONTIRONE,Via Campagna,"Via Campagna, MONTIRONE, BS, Lombardia, Italia",POINT
Montirone : Via F. Corridoni,Montirone,Via F. Corridoni,"Via F. Corridoni, Montirone, BS, Lombardia, Italia",POINT
GUSSAGO: Via Civine : COD.ASL 17081/3R ,GUSSAGO,Via Civine,"Via Civine, GUSSAGO, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via Paolo VI : COD.ASL 17163/3R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
BRESCIA: Via Vallecamonica : Mandolossa : COD.ASL 17029/10R ,BRESCIA,Via Vallecamonica,"Via Vallecamonica, BRESCIA, BS, Lombardia, Italia",POINT
Brescia : Via Franzinetti,Brescia,Via Franzinetti,"Via Franzinetti, Brescia, BS, Lombardia, Italia",POINT
Gussago : Via Sale,Gussago,Via Sale,"Via Sale, Gussago, BS, Lombardia, Italia",POINT
Rodengo Saiano : Viale Europa,Rodengo Saiano,Viale Europa,"Viale Europa, Rodengo Saiano, BS, Lombardia, Italia",POINT
BRESCIA: Via Violino di Sotto : COD.ASL 17029/11R ,BRESCIA,Via Violino di Sotto,"Via Violino di Sotto, BRESCIA, BS, Lombardia, Italia",POINT
GUSSAGO: Via Kennedy : Casaglio,GUSSAGO,Via Kennedy,"Via Kennedy, GUSSAGO, BS, Lombardia, Italia",POINT
CELLATICA: Via Aldo Moro : COD.ASL 17048/1R ,CELLATICA,Via Aldo Moro,"Via Aldo Moro, CELLATICA, BS, Lombardia, Italia",POINT
CELLATICA: Via Risorgimento : COD.ASL 17048/3R,CELLATICA,Via Risorgimento,"Via Risorgimento, CELLATICA, BS, Lombardia, Italia",POINT
GUSSAGO: Piazza San Lorenzo : COD.ASL 17081/2R ,GUSSAGO,Piazza San Lorenzo,"Piazza San Lorenzo, GUSSAGO, BS, Lombardia, Italia",POINT
GUSSAGO: Via San Zenone : Ronco : COD.ASL 17081/5R ,GUSSAGO,Via San Zenone,"Via San Zenone, GUSSAGO, BS, Lombardia, Italia",POINT
Brescia : Via Prima Villaggio Badia,Brescia,Via Prima Villaggio Badia,"Via Prima Villaggio Badia, Brescia, BS, Lombardia, Italia",POINT
COLLEBEATO: Campiani : COD.ASL 17057/2R ,COLLEBEATO,Campiani,"Campiani, COLLEBEATO, BS, Lombardia, Italia",POINT
OME: Via Battola : Martignano : COD.ASL 17123/3R ,OME,Via Battola,"Via Battola, OME, BS, Lombardia, Italia",POINT
GUSSAGO: Via Seriola : Navezze : COD.ASL 17081/4R ,GUSSAGO,Via Seriola,"Via Seriola, GUSSAGO, BS, Lombardia, Italia",POINT
GUSSAGO: Via Trieste : Sale : COD.ASL 17081/1R ,GUSSAGO,Via Trieste,"Via Trieste, GUSSAGO, BS, Lombardia, Italia",POINT
Ome : Piazza del Mercato,Ome,Piazza del Mercato,"Piazza del Mercato, Ome, BS, Lombardia, Italia",POINT
CONCESIO: Via Gilli : San Vigilio : COD.ASL 17061/4R,CONCESIO,Via Gilli,"Via Gilli, CONCESIO, BS, Lombardia, Italia",POINT
Cellatica : Via Magenta,Cellatica,Via Magenta,"Via Magenta, Cellatica, BS, Lombardia, Italia",POINT
OME: Piazza Aldo Moro : COD.ASL 17123/1R ,OME,Piazza Aldo Moro,"Piazza Aldo Moro, OME, BS, Lombardia, Italia",POINT
BRESCIA: Via Cucca : Sant'Anna : COD.ASL 17029/9R ,BRESCIA,Via Cucca,"Via Cucca, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Piazza : Urago Mella : COD.ASL 17029/8R ,BRESCIA,Via Piazza,"Via Piazza, BRESCIA, BS, Lombardia, Italia",POINT
CELLATICA: Via Montebello : COD.ASL 17048/2R ,CELLATICA,Via Montebello,"Via Montebello, CELLATICA, BS, Lombardia, Italia",POINT
GUSSAGO: Via Carrebbio,GUSSAGO,Via Carrebbio,"Via Carrebbio, GUSSAGO, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via San Francesco : COD.ASL 17163/1R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
OME: Via Goiane angolo via San Michele : COD.ASL 17123/2R ,OME,Via Goiane angolo via San Michele,"Via Goiane angolo via San Michele, OME, BS, Lombardia, Italia",POINT
LONATO: Via Galilei : COD.ASL 17092/2R ,LONATO,Via Galilei,"Via Galilei, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via Maguzzano : COD.ASL 17092/8R ,LONATO,Via Maguzzano,"Via Maguzzano, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via Tito Speri : Esenta : COD.ASL 17092/7R ,LONATO,Via Tito Speri,"Via Tito Speri, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via XXIV Maggio : Sedena : COD.ASL 17092/5R ,LONATO,Via XXIV Maggio,"Via XXIV Maggio, LONATO, BS, Lombardia, Italia",POINT
LONATO: Piazza Corlo,LONATO,Piazza Corlo,"Piazza Corlo, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via Arriga Alta : COD.ASL 17092/1R ,LONATO,Via Arriga Alta,"Via Arriga Alta, LONATO, BS, Lombardia, Italia",POINT
LONATO: Piazzale Gramsci : COD.ASL 17092/10R,LONATO,Piazzale Gramsci,"Piazzale Gramsci, LONATO, BS, Lombardia, Italia",POINT
LONATO: Via Ceruti : Lonatino : COD.ASL 17092/12R,LONATO,Via Ceruti,"Via Ceruti, LONATO, BS, Lombardia, Italia",POINT
LONATO: Campagna : COD.ASL 17092/13R,LONATO,Campagna,"Campagna, LONATO, BS, Lombardia, Italia",POINT
Lonato del Garda : Via Colombere Pozze,Lonato del Garda,Via Colombere Pozze,"Via Colombere Pozze, Lonato del Garda, BS, Lombardia, Italia",POINT
LONATO: Via Mancino : COD.ASL 17092/11R,LONATO,Via Mancino,"Via Mancino, LONATO, BS, Lombardia, Italia",POINT
BRESCIA: Via Veneto  angolo Via Salvo d'Acquisto : COD.ASL 17029/14R ,BRESCIA,Via Veneto  angolo Via Salvo d'Acquisto,"Via Veneto  angolo Via Salvo d'Acquisto, BRESCIA, BS, Lombardia, Italia",POINT
CONCESIO: Via Segheria : San Vigilio : COD.ASL 17061/2R,CONCESIO,Via Segheria,"Via Segheria, CONCESIO, BS, Lombardia, Italia",POINT
BRESCIA: Via Capretti angolo Via Triumplina : COD.ASL 17029/27R ,BRESCIA,Via Capretti angolo Via Triumplina,"Via Capretti angolo Via Triumplina, BRESCIA, BS, Lombardia, Italia",POINT
CONCESIO: Via Mazzini : San Vigilio : COD.ASL 17061/1R ,CONCESIO,Via Mazzini,"Via Mazzini, CONCESIO, BS, Lombardia, Italia",POINT
NAVE: Via San Marco : Cortine : COD.ASL 17117/3R ,NAVE,Via San Marco,"Via San Marco, NAVE, BS, Lombardia, Italia",POINT
BRESCIA: Via Dal Monte : COD.ASL 17029/6R ,BRESCIA,Via Dal Monte,"Via Dal Monte, BRESCIA, BS, Lombardia, Italia",POINT
CELLATICA: Via Risorgimento : COD.ASL 17048/3R,CELLATICA,Via Risorgimento,"Via Risorgimento, CELLATICA, BS, Lombardia, Italia",POINT
COLLEBEATO: Via San Francesco : COD.ASL 17057/1R ,COLLEBEATO,Via San Francesco,"Via San Francesco, COLLEBEATO, BS, Lombardia, Italia",POINT
Bovezzo : Piazza 28 Maggio ,Bovezzo,Piazza 28 Maggio,"Piazza 28 Maggio, Bovezzo, BS, Lombardia, Italia",POINT
BRESCIA: Via Lama : Mompiano : COD.ASL 17029/26R ,BRESCIA,Via Lama,"Via Lama, BRESCIA, BS, Lombardia, Italia",POINT
COLLEBEATO: Campiani : COD.ASL 17057/2R ,COLLEBEATO,Campiani,"Campiani, COLLEBEATO, BS, Lombardia, Italia",POINT
CONCESIO: Via Ca' de Bosio : COD.ASL 17061/3R ,CONCESIO,Via Ca' de Bosio,"Via Ca' de Bosio, CONCESIO, BS, Lombardia, Italia",POINT
Brescia : Via Casazza,Brescia,Via Casazza,"Via Casazza, Brescia, BS, Lombardia, Italia",POINT
Collebeato : Via Saletto,Collebeato,Via Saletto,"Via Saletto, Collebeato, BS, Lombardia, Italia",POINT
BOVEZZO: Via Canossi : COD.ASL 17025/2R ,BOVEZZO,Via Canossi,"Via Canossi, BOVEZZO, BS, Lombardia, Italia",POINT
Brescia : Via Niccolo Tommaseo,Brescia,Via Niccolo Tommaseo,"Via Niccolo Tommaseo, Brescia, BS, Lombardia, Italia",POINT
BRESCIA: Via Gabbiane : San Bartolomeo : COD.ASL 17029/1R ,BRESCIA,Via Gabbiane,"Via Gabbiane, BRESCIA, BS, Lombardia, Italia",POINT
CONCESIO: Via Due Muri : Roncaglie : COD.ASL 17061/5R,CONCESIO,Via Due Muri,"Via Due Muri, CONCESIO, BS, Lombardia, Italia",POINT
CONCESIO: Via Gilli : San Vigilio : COD.ASL 17061/4R,CONCESIO,Via Gilli,"Via Gilli, CONCESIO, BS, Lombardia, Italia",POINT
Cellatica : Via Magenta,Cellatica,Via Magenta,"Via Magenta, Cellatica, BS, Lombardia, Italia",POINT
BOVEZZO: Via Vittorio Veneto : COD.ASL 17025/1R ,BOVEZZO,Via Vittorio Veneto,"Via Vittorio Veneto, BOVEZZO, BS, Lombardia, Italia",POINT
BRESCIA: Via Cucca : Sant'Anna : COD.ASL 17029/9R ,BRESCIA,Via Cucca,"Via Cucca, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Piazza : Urago Mella : COD.ASL 17029/8R ,BRESCIA,Via Piazza,"Via Piazza, BRESCIA, BS, Lombardia, Italia",POINT
CELLATICA: Via Montebello : COD.ASL 17048/2R ,CELLATICA,Via Montebello,"Via Montebello, CELLATICA, BS, Lombardia, Italia",POINT
Concesio :  Via Pascoli,Concesio,Via Pascoli,"Via Pascoli, Concesio, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via Paolo VI : COD.ASL 17163/3R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
Ospitaletto : Via Sant'Antonio,Ospitaletto,Via Sant'Antonio,"Via Sant'Antonio, Ospitaletto, BS, Lombardia, Italia",POINT
OSPITALETTO: Via IV Novembre : COD.ASL 17127/1R ,OSPITALETTO,Via IV Novembre,"Via IV Novembre, OSPITALETTO, BS, Lombardia, Italia",POINT
Rodengo Saiano : Viale Europa,Rodengo Saiano,Viale Europa,"Viale Europa, Rodengo Saiano, BS, Lombardia, Italia",POINT
OSPITALETTO: Via Leopardi : COD.ASL 17127/2R ,OSPITALETTO,Via Leopardi,"Via Leopardi, OSPITALETTO, BS, Lombardia, Italia",POINT
OSPITALETTO: Via Martiri della Libertà : COD.ASL 17127/3R ,OSPITALETTO,Via Martiri della Libertà,"Via Martiri della Libertà, OSPITALETTO, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via San Francesco : COD.ASL 17163/1R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
Ospitaletto : Via Sant'Antonio,Ospitaletto,Via Sant'Antonio,"Via Sant'Antonio, Ospitaletto, BS, Lombardia, Italia",POINT
CAPRIANO DEL COLLE: Via Trento : Fenili Belasi : COD.ASL 17037/3R ,CAPRIANO DEL COLLE,Via Trento,"Via Trento, CAPRIANO DEL COLLE, BS, Lombardia, Italia",POINT
OSPITALETTO: Via IV Novembre : COD.ASL 17127/1R ,OSPITALETTO,Via IV Novembre,"Via IV Novembre, OSPITALETTO, BS, Lombardia, Italia",POINT
OSPITALETTO: Via Leopardi : COD.ASL 17127/2R ,OSPITALETTO,Via Leopardi,"Via Leopardi, OSPITALETTO, BS, Lombardia, Italia",POINT
OSPITALETTO: Via Martiri della Libertà : COD.ASL 17127/3R ,OSPITALETTO,Via Martiri della Libertà,"Via Martiri della Libertà, OSPITALETTO, BS, Lombardia, Italia",POINT
MAZZANO: Rotonda Paolo VI,MAZZANO,Rotonda Paolo VI,"Rotonda Paolo VI, MAZZANO, BS, Lombardia, Italia",POINT
CASTENEDOLO: Via Garibaldi : COD.ASL 17043/1R ,CASTENEDOLO,Via Garibaldi,"Via Garibaldi, CASTENEDOLO, BS, Lombardia, Italia",POINT
MAZZANO: Via Conti Emili : COD.ASL 17107/1R,MAZZANO,Via Conti Emili,"Via Conti Emili, MAZZANO, BS, Lombardia, Italia",POINT
BOTTICINO: Via IV Novembre : Botticino Sera : COD.ASL 17023/2R ,BOTTICINO,Via IV Novembre,"Via IV Novembre, BOTTICINO, BS, Lombardia, Italia",POINT
Botticino : Via Dante Alighieri,Botticino,Via Dante Alighieri,"Via Dante Alighieri, Botticino, BS, Lombardia, Italia",POINT
BOTTICINO: Piazza Aldo Moro : COD.ASL 17023/3R ,BOTTICINO,Piazza Aldo Moro,"Piazza Aldo Moro, BOTTICINO, BS, Lombardia, Italia",POINT
Mazzano : Viale della Resistenza (Molinetto),Mazzano,Viale della Resistenza (Molinetto),"Viale della Resistenza (Molinetto), Mazzano, BS, Lombardia, Italia",POINT
Nuvolera : Via Camprelle,Nuvolera,Via Camprelle,"Via Camprelle, Nuvolera, BS, Lombardia, Italia",POINT
NUVOLERA: Via Valle : COD.ASL 17120/4R,NUVOLERA,Via Valle,"Via Valle, NUVOLERA, BS, Lombardia, Italia",POINT
BOTTICINO: Via Don Milani : Botticino Sera,BOTTICINO,Via Don Milani,"Via Don Milani, BOTTICINO, BS, Lombardia, Italia",POINT
CASTENEDOLO: Via Matteotti : COD.ASL 17043/2R ,CASTENEDOLO,Via Matteotti,"Via Matteotti, CASTENEDOLO, BS, Lombardia, Italia",POINT
Castenedolo : Via Pietro Pisa,Castenedolo,Via Pietro Pisa,"Via Pietro Pisa, Castenedolo, BS, Lombardia, Italia",POINT
MAZZANO: Via Garibaldi : Molinetto : COD.ASL 17107/3R,MAZZANO,Via Garibaldi,"Via Garibaldi, MAZZANO, BS, Lombardia, Italia",POINT
NUVOLERA: Via Roma,NUVOLERA,Via Roma,"Via Roma, NUVOLERA, BS, Lombardia, Italia",POINT
BRESCIA: Via Caionvico : COD.ASL 17029/4R ,BRESCIA,Via Caionvico,"Via Caionvico, BRESCIA, BS, Lombardia, Italia",POINT
NUVOLERA: Via Soldo : COD.ASL 17120/2R,NUVOLERA,Via Soldo,"Via Soldo, NUVOLERA, BS, Lombardia, Italia",POINT
MAZZANO: Via Conciliazione : Ciliverghe : COD.ASL 17107/2R,MAZZANO,Via Conciliazione,"Via Conciliazione, MAZZANO, BS, Lombardia, Italia",POINT
CASTENEDOLO: Via Macina : COD.ASL 17043/3R ,CASTENEDOLO,Via Macina,"Via Macina, CASTENEDOLO, BS, Lombardia, Italia",POINT
GUSSAGO: Via Civine : COD.ASL 17081/3R ,GUSSAGO,Via Civine,"Via Civine, GUSSAGO, BS, Lombardia, Italia",POINT
CONCESIO: Via Segheria : San Vigilio : COD.ASL 17061/2R,CONCESIO,Via Segheria,"Via Segheria, CONCESIO, BS, Lombardia, Italia",POINT
CONCESIO: Via Mazzini : San Vigilio : COD.ASL 17061/1R ,CONCESIO,Via Mazzini,"Via Mazzini, CONCESIO, BS, Lombardia, Italia",POINT
Brione : Strada Provinciale X,Brione,Strada Provinciale X,"Strada Provinciale X, Brione, BS, Lombardia, Italia",POINT
CONCESIO: Via Gilli : San Vigilio : COD.ASL 17061/4R,CONCESIO,Via Gilli,"Via Gilli, CONCESIO, BS, Lombardia, Italia",POINT
GUSSAGO: Via Carrebbio,GUSSAGO,Via Carrebbio,"Via Carrebbio, GUSSAGO, BS, Lombardia, Italia",POINT
Concesio :  Via Pascoli,Concesio,Via Pascoli,"Via Pascoli, Concesio, BS, Lombardia, Italia",POINT
MANERBIO: Via Lombardia : COD.ASL 17103/6R,MANERBIO,Via Lombardia,"Via Lombardia, MANERBIO, BS, Lombardia, Italia",POINT
