alias_address,alias_city,geocode,geometry,georeferencingString,urlReport
Cellino,Claut,"Località Celino di Sopra, Cellino di Sopra, Claut, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.4712773, 46.2477437]}",Località Cellino Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Celante,Clauzetto,"Località Celante, Clauzetto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9200677, 46.2108809]}",Località Celante Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Rope,Clauzetto,"Rope, Clauzetto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.9100817, 46.2450727]}",Località Rope Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Orton,Clauzetto,"Orton, Clauzetto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.908462, 46.2523193]}",Località Orton Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Fraspedane,Clauzetto,"Casa Fraspedane, Clauzetto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9164681, 46.2510583]}",Località Fraspedane Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Tunulins,Clauzetto,"Tunulins, Clauzetto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.8666407, 46.2496147]}",Località Tunulins Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Paludon,Clauzetto,"Paludon, Clauzetto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.8865121, 46.2553797]}",Località Paludon Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Raunia,Clauzetto,"Raunia, Clauzetto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.901745, 46.2238074]}",Località Raunia Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Stei de Conte,Erto e Casso,"Casera di Conte, Erto e Casso, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.3684225, 46.2955523]}",Casera di Conte Erto,https://www.hydrogea-pn.it/download/mappa/Erto%20Casso%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Prada,Erto e Casso,"Rifugio Casera Ditta, Anello delle Due Forcelle, Località Saveda, Erto e Casso, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.369418811283422, 46.2402402]}",Casera Prada Erto,https://www.hydrogea-pn.it/download/mappa/Erto%20Casso%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Pineda,Erto e Casso,"Località Pineda, Erto e Casso, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.3618749, 46.262685]}",Località Pineda Erto,https://www.hydrogea-pn.it/download/mappa/Erto%20Casso%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
#Casso,Erto e Casso,"Casso, Erto e Casso, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 32013, Italia","{'type': 'Point', 'coordinates': [12.3321839, 46.2720993]}",Casso Erto e Casso,https://www.hydrogea-pn.it/download/mappa/Erto%20Casso%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Ravedis,Monterale Valcellina,"Lago di Ravedis, Cao Malnisio, Montereale Valcellina, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.651150164463239, 46.1677976]}",Lago di Ravedis,https://www.hydrogea-pn.it/download/mappa/Montereale%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Monte Spia,Monterale Valcellina,"Monte Spia, Montereale Valcellina, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33086, Italia","{'type': 'Point', 'coordinates': [12.6523072, 46.1610281]}",Monte Spia,https://www.hydrogea-pn.it/download/mappa/Montereale%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
San Leonardo,Monterale Valcellina,"San Leonardo Valcellina, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.6822627, 46.0969706]}",San Leonardo Valcellina,https://www.hydrogea-pn.it/download/mappa/Montereale%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Capoluogo,Pinzano al Tagliamento,"Pinzano al Tagliamento, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9454483, 46.1831041]}",Pinzano al Tagliamento,https://www.hydrogea-pn.it/download/mappa/Pinzano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Valeriano,Pinzano al Tagliamento,"Valeriano, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9207289, 46.168289]}",Valeriano Pinzano al Tagliamento,https://www.hydrogea-pn.it/download/mappa/Pinzano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Manazzons,Pinzano al Tagliamento,"Manazzons, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9341198, 46.2089492]}",Manazzons Pinzano al Tagliamento,https://www.hydrogea-pn.it/download/mappa/Pinzano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Pradaldon,Pinzano al Tagliamento,"Pradaldon, Colle, Pinzano al Tagliamento, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9437774, 46.2053159]}",Pradaldon Pinzano al Tagliamento,https://www.hydrogea-pn.it/download/mappa/Pinzano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Colle,Pinzano al Tagliamento,"Colle, Pinzano al Tagliamento, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9533345, 46.1998028]}",Colle Pinzano al Tagliamento,https://www.hydrogea-pn.it/download/mappa/Pinzano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Costabeorchia,Pinzano al Tagliamento,"Costabeorchia, Pinzano al Tagliamento, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9341147, 46.194]}",Costabeorchia Pinzano al Tagliamento,https://www.hydrogea-pn.it/download/mappa/Pinzano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Santissima,Polcenigo,"fiume Livenza - Sorgente La Santissima, Via Pedemontana, Località Ortia, Polcenigo, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33070, Italia","{'type': 'Point', 'coordinates': [12.4750896, 46.0214139]}",Santissima Polcenigo,https://www.hydrogea-pn.it/download/mappa/Polcenigo%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Canaletto,Pordenone,"Via Canaletto, Villanova, Borgo Meduna, Pordenone, UTI del Noncello, Friuli Venezia Giulia, 33170, Italia","{'type': 'Point', 'coordinates': [12.6756633, 45.953953]}",Via Canaletto Pordenone,https://www.hydrogea-pn.it/download/mappa/Pordenone%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Via San Daniele,Pordenone,"Via San Daniele, San Giorgio, Torre, Pordenone, UTI del Noncello, Friuli Venezia Giulia, 33170, Italia","{'type': 'Point', 'coordinates': [12.6577479, 45.9755834]}",Via San Daniele Pordenone,https://www.hydrogea-pn.it/download/mappa/Pordenone%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Centrale Via Brentella,Roveredo in Piano,"Via Brentella, Roveredo in Piano, UTI del Noncello, Friuli Venezia Giulia, 33080, Italia","{'type': 'Point', 'coordinates': [12.6327364, 46.0365723]}",Via Brentella Roveredo in Piano,https://www.hydrogea-pn.it/download/mappa/Roveredo%20in%20Piano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Palis Vecchio,Sequals,"Col Palis, Sequals, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.8204832, 46.1691614]}",Col Palis Sequals,https://www.hydrogea-pn.it/download/mappa/Sequals-%20caratteristiche%20acqua%20HYDROGEA.pdf
Lestans,Sequals,"Lestans, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.890041, 46.1618074]}",Lestans Sequals,https://www.hydrogea-pn.it/download/mappa/Sequals-%20caratteristiche%20acqua%20HYDROGEA.pdf
Baseglia,Spilimbergo,"Baseglia, UTI del Tagliamento, Friuli Venezia Giulia, 33097, Italia","{'type': 'Point', 'coordinates': [12.9017091, 46.1305103]}",Baseglia Spilimbergo,https://www.hydrogea-pn.it/download/mappa/Spilimbergo%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Vacile,Spilimbergo,"Vacile, UTI del Tagliamento, Friuli Venezia Giulia, 33097, Italia","{'type': 'Point', 'coordinates': [12.8908412, 46.1400438]}",Vacile Spilimbergo,https://www.hydrogea-pn.it/download/mappa/Spilimbergo%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Ciriani,Spilimbergo,"Via Marco Ciriani, Privilegio, Spilimbergo, UTI del Tagliamento, Friuli Venezia Giulia, 33097, Italia","{'type': 'Point', 'coordinates': [12.9011059, 46.1151603]}",Ciriani Spilimbergo,https://www.hydrogea-pn.it/download/mappa/Spilimbergo%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Tauriano,Spilimbergo,"Tauriano, UTI del Tagliamento, Friuli Venezia Giulia, 33097, Italia","{'type': 'Point', 'coordinates': [12.8655598, 46.1068051]}",Tauriano Spilimbergo,https://www.hydrogea-pn.it/download/mappa/Spilimbergo%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Favorita,Spilimbergo,"Via della Favorita, Privilegio, Spilimbergo, UTI del Tagliamento, Friuli Venezia Giulia, 33097, Italia","{'type': 'Point', 'coordinates': [12.8845134, 46.1110828]}",Favorita Spilimbergo,https://www.hydrogea-pn.it/download/mappa/Spilimbergo%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
#Todesch,Spilimbergo,,,Todesch Spilimbergo,https://www.hydrogea-pn.it/download/mappa/Spilimbergo%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Toppo Alto,Travesio,"Toppo, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.8300519, 46.2019559]}",Frazione Toppo Travesio,https://www.hydrogea-pn.it/download/mappa/Travesio%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Breli,Travesio,"Via Breli, Borgo Riosecco, Laves, Travesio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.8601393, 46.2012161]}",Via Breli Travesio,https://www.hydrogea-pn.it/download/mappa/Travesio%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castello,Travesio,"Via Castello, Travesio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.825497, 46.201314]}",Via Castello Travesio,https://www.hydrogea-pn.it/download/mappa/Travesio%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Bolzon,Vito d’Asio,"Via Bolzon, Località Mont, Vallata, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9479597, 46.2264963]}",Via Bolzon Vito d’Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Marins,Vito d’Asio,"Marins, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9405052, 46.3191906]}",Marins Vito d’Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Borgo di sopra,Vito d’Asio,"Borgo di Sopra, Località Mont, Località Chiavines, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9619749, 46.2361978]}",Borgo di sopra Vito d’Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Cuel di For,Vito d’Asio,"Cuel di For, Clauzetto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9084633, 46.2726511]}",Cuel di For Clauzetto,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
#Cosoi,Vito d’Asio,,,Cosoi Vito d’Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
#Carniolet,Vito d’Asio,,,Carniolet Vito d’Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Fratta,Vito d’Asio,"La Fratta, Via Quattro Novembre, Chiavals, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9251575, 46.2629977]}",La Fratta Vito d'Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Fruins,Vito d’Asio,"Fruinz, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9441136, 46.2618133]}",Fruinz Vito D'Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Taviela,Vito d’Asio,"Cuel della Tivana, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9459587, 46.2786847]}",Cuel della Tivana Vito D'Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Strada di Mont,Vito d’Asio,"Mont di Anduins, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9603572, 46.242504]}",Mont di Anduins Vito D'Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Chiamp,Vito d’Asio,"Chiamp, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9541981, 46.266437]}",Chiamp Vito D'Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Marcuz,Vito d’Asio,"Salita Marcuz, Clementins, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9273134, 46.2762761]}",Salita Marcuz Vito D'Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Denda,Vito d’Asio,"Via Casale Denda, Valentins, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.931279, 46.2932396]}",Via Casale Denda Vito D'Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castello,Vito d’Asio,"Via Castello, Clementins, Vito d'Asio, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9227503, 46.2772801]}",Via Castello Vito D'Asio,https://www.hydrogea-pn.it/download/mappa/Vito%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
