descrizione_gestore,url_qualita_acqua,tipo_fonte,modalita_interazione,etichetta_analisi,sito_internet,natura_giuridica,id_gestore,partita_iva,email,sede_legale,sede_operativa,telefono sede operativa,url_carta_servizi
MM S.P.A.,https://www.milanoblu.com/la-tua-acqua/controlla-le-analisi/,HTML,FREESTREET,PER_VIA,http://www.mmspa.eu,Societa' per azioni (S.p.a.),13800,01742310152,info@mmspa.eu,Via del Vecchio Politecnico 8 - 20121 Milano (Milano),Via Meda 44 - 20141 Milano (Milano),00390277471,http://www.milanoblu.com/wp-content/uploads/2012/07/CARTA-DEI-SERVIZI_def.pdf
ACQUAENNA S.C.P.A.,http://www.acquaenna.it/index.php/qualita-dellacqua/i-parametri-del-tuo-comune/,PDF,STATICWEB,PER_COMUNE,http://www.acquaenna.it,ALTRO,13809,01087110860,michele.zappala@acquaenna.it,Via S. AGATA 65/71 - 94100 Enna (Enna),Via S. AGATA 65/71 - 94100 Enna (Enna),00390935508311,
MEDIO CHIAMPO SPA,http://mediochiampo.it/consorzio/analisi-acquedotto/,PDF,STATICWEB,PER_COMUNE,http://www.mediochiampo.it,Societa' per azioni (S.p.a.),13908,00675230247,ufficiocontabilita@mediochiampo.it,Via GENERALE VACCARI 18 - 36054 Montebello Vicentino (Vicenza),Via GENERALE VACCARI 18 - 36054 Montebello Vicentino (Vicenza),00390444648398,http://mediochiampo.it/consorzio/wp-content/uploads/2018/12/mediochiampo-carta.servizi.pdf#
VIACQUA S.P.A.,https://www.viacqua.it/it/clienti/acquedotto/qualita-acqua/,HTML,DYNAMICWEB,PER_VIA,http://www.viacqua.it,Societa' per azioni (S.p.a.),14159,03196760247,viacqua@pec.viacqua.it,Viale Dell'Industria 23 - 36100 Vicenza (Vicenza),Viale Dell'Industria 23 - 36100 Vicenza (Vicenza),00390444955200,https://www.viacqua.it/it/clienti/patto-con-gli-utenti/carta-dei-servizi/
A.I.R. - AZ. INTERCOMUNALE ROTALIANA S.P.A.,https://www.airspa.it/Servizi/Acquedotto/Analisi-acqua,SCANNER,STATICWEB,PER_COMUNE,http://www.airspa.it,Societa' per azioni (S.p.a.),1417,01579450220,info@airspa.it,Via Milano 10 - 38017 Mezzolombardo (Trento),Via Milano 10 - 38017 Mezzolombardo (Trento),00390461610600,
CAP HOLDING S.P.A,https://www.gruppocap.it/attivita/servizio-idrico-integrato/qualita-dell-acqua,XLS,STATICWEB,PER_COMUNE,http://www.gruppocap.it,Societa' per azioni (S.p.a.),14177,13187590156,info@gruppocap.it,Via DEL MULINO 2 - 20090 Assago (Milano),Via DEL MULINO 2 - 20090 Assago (Milano),00390282502213,https://cartadeiservizi.gruppocap.it/
ALTO TREVIGIANO SERVIZI,https://altotrevigianoservizi.it/reti-e-impianti/acqua-potabile,HTML,DYNAMICWEB,PER_LOCALITA,http://www.altotrevigianoservizi.it,Societa' a responsabilita limitata (S.r.l.),14211,04163490263,info@altotrevigianoservizi.it,Via SCHIAVONESCA PRIULA 86 - 31044 Montebelluna (Treviso),Via SCHIAVONESCA PRIULA 86 - 31044 Montebelluna (Treviso),003904232928,https://altotrevigianoservizi.it/files/filemanager/source/documenti/D.%201.000%20-%20Carta%20del%20Servizio%20Idrico%20Integrato%20di%20ATS%20S.r.l.%20(Rev.%204%20del%2019.12.2018).pdf
PADANIA ACQUE S.P.A.,http://www.padania-acque.it/it-IT/analisi-on-line.aspx,HTML,DYNAMICWEB,PER_PUNTO_PRELIEVO,http://www.padania-acque.it,Societa' per azioni (S.p.a.),1439,00111860193,s.furlotti@padania-acque.it,Via MACELLO 14 - 26100 Cremona (Cremona),Via MACELLO 14 - 26100 Cremona (Cremona),003903724791,
ACQUEDOTTO POIANA S.P.A.,http://www.poiana.it/ddocs/DOC_18_ITA/,PDF,STATICWEB,PER_LOCALITA,http://www.poiana.it,Societa' per azioni (S.p.a.),15123,00160360301,informazioni@poiana.it,Via Duca degli Abruzzi 1 - 33043 Cividale del Friuli (Udine),Via Duca degli Abruzzi 1 - 33043 Cividale del Friuli (Udine),00390432706111,http://trasparenza.poiana.it/ddocs/TDO_65/carta%20del%20servizio%20idrico%20integrato%20maggio%202017.pdf
SOCIETA' ACQUA LODIGIANA SRL,http://www.acqualodigiana.it/acqua-del-rubinetto/,HTML,STATICWEB,PER_COMUNE,http://www.acqualodigiana.it,Societa' a responsabilita limitata (S.r.l.),AcquaLodigiana,05486580961,info@acqualodigiana.it,Via dell'artigianato 1/3 - 26900 Lodi (Lodi),Via dell'artigianato 1/3 - 26900 Lodi (Lodi),003903716168,http://www.acqualodigiana.it/carta-dei-servizi/
ACQUEDOTTO COOPERATIVO DI FIE' ALLO SCILIAR,http://www.twg-voels-fie.com/download/wasseranalyse-2015-10-02-7.pdf,SCANNER,STATICWEB,PER_COMUNE,http://www.twg-voels-fie.com/acquedotto-cooperativo-p11.html,Societa' Cooperativa (S.c.),17499,00229030218,trinkwasser.voels@gmail.com,Via del Paese 14 - 39050 Fie' allo Sciliar/Vols am Schlern (Bolzano/Bozen),Via del Paese 14 - 39050 Fie' allo Sciliar/Vols am Schlern (Bolzano/Bozen),00393332988041,
ACOSET S.P.A.,http://www.acoset.com/qualita2.html,SCANNER,STATICWEB,PER_COMUNE,http://www.acoset.com,Societa' per azioni (S.p.a.),1761,00132380874,presidenza@acoset.com,Viale Mario Rapisardi 164 - 95123 Catania (Catania),Viale Mario Rapisardi 164 - 95123 Catania (Catania),0039095360133,
DOLOMITI ENERGIA HOLDING SPA,https://www.gruppodolomitienergia.it/content/l-acqua-che-beviamo,HTML,STATICWEB,PER_PUNTO_PRELIEVO,https://www.gruppodolomitienergia.it/content/home,Societa' per azioni (S.p.a.),214,,info.holding@dolomitienergia.it,Via Manzoni 24 - 38068 Rovereto (Trento),Via Manzoni 24 - 38068 Rovereto (Trento),,
COMO ACQUA S.R.L.,http://www.asil.it/qualita-acqua-distribuita-2/,PDF,STATICWEB,PER_COMUNE,http://www.comoacqua.it,Societa' a responsabilita limitata (S.r.l.),21521,03522110133,info@comoacqua.it,Via BORGO VICO 148 - 22100 Como (Como),Via BORGO VICO 148 - 22100 Como (Como),00390317897929,https://www.comoacqua.it/societa-trasparente/servizi-erogati/55-carta-dei-servizi-e-standard-di-qualita
VERITAS SPA,https://www.gruppoveritas.it/servizio-idrico-integrato/qualita-dell-acqua.html,PDF,STATICWEB,PER_COMUNE,http://www.gruppoveritas.it,Societa' per azioni (S.p.a.),VERITAS,03341820276,info@gruppoveritas.it,SESTIERE SANTA CROCE 489 - 30135 Venezia (Venezia),Via Orlanda 3 - 30173 Venezia (Venezia),00390417291111,https://www.gruppoveritas.it/sites/default/files/documenti/comuni_profilati/all_a_-_carta_dei_servizi_sii_veritas_2019_rev_6.pdf
LIVENZA TAGLIAMENTO ACQUE S.P.A.,https://www.lta.it/le-analisi-della-tua-acqua,HTML,DYNAMICWEB,PER_LOCALITA,http://www.lta.it,Societa' per azioni (S.p.a.),23007,04268260272,info@lta.it,Piazza della Repubblica 1 - 30026 Portogruaro (Venezia),Viale Trieste 11 - 30020 Annone Veneto (Venezia),00390421789055,https://www.lta.it/res/files/download/Carta_SII_LTA_23052019_LTA_unica_post917.pdf
PIAVE SERVIZI S.P.A.,https://www.piaveservizi.eu/home/Acqua/Qualita.html,PDF,STATICWEB,PER_COMUNE,http://www.piaveservizisrl.it,Societa' per azioni (S.p.a.),24533,03475190272,info@piaveservizisrl.it,Via Petrarca 3 - 31013 Codogne' (Treviso),Via Petrarca 3 - 31013 Codogne' (Treviso),00390438795743,https://www.piaveservizi.eu/dam/jcr:0e629327-f293-4c48-b777-367d4954fdfa/CARTA%20SII_20190101.pdf
TRINKWASSER-GENOSSENSCHAFT TERLAN,https://ambiente.provincia.bz.it/acqua/qualita-acqua-nostri-acquedotti-dettaglio.asp,XLS,STATICWEB,PER_COMUNE,http://www.trinkwasser-terlan.com,Societa cooperativa a responsabilita' limitata (S.c.r.l.),25232,00212940217,,Via Siegmund Schwarz 9 - 39018 Terlano/Terlan (Bolzano/Bozen),Via Siegmund Schwarz 9 - 39018 Terlano/Terlan (Bolzano/Bozen),00390471662403,
ACQUE BRESCIANE SRL,https://www.acquebresciane.it/public/acquebresciane-portal/it/home/qualita-acqua,PDF,STATICWEB,PER_COMUNE,http://www.acquebresciane.it,Societa' a responsabilita limitata (S.r.l.),26656,03832490985,andrea.leoni@acquebresciane.it,Via Cefalonia 70 - 25124 Brescia (Brescia),Via XXV Aprile 18 - 25038 Rovato (Brescia),00390307714205,
ETRA SPA,https://www.etraspa.it/resana/impresa/acqua/analisi-dellacqua,HTML,DYNAMICWEB,PER_VIA,http://www.etraspa.it/,Societa' per azioni (S.p.a.),2967,03278040245,INFO@ETRASPA.IT,Largo PAROLINI 82/B - 36061 Bassano del Grappa (Vicenza),Largo PAROLINI 82/B - 36061 Bassano del Grappa (Vicenza),00390498098780,https://www.etraspa.it/sites/etraspa.it/files/Carta_Servizio%20Idrico_Integrato%20web.pdf
ACSM-AGAM RETI GAS-ACQUA S.P.A.,http://www.reti.acsm-agam.it/l-acqua-che-bevi,XLS,STATICWEB,PER_COMUNE,http://www.reti.acsm-agam.it,Societa' per azioni (S.p.a.),2982,07063880962,reti_arera@acsm-agam.it,Via A. Canova 3 - 20052 Monza (Monza e della Brianza),attiva Via A. Canova 3 - 20052 Monza (Monza e della Brianza),0039031529111,
A2A CICLO IDRICO,https://www.a2acicloidrico.eu/home/cms/idrico/sostenibilita/qualita/provincia.html,HTML,STATICWEB,PER_COMUNE,http://www.a2acicloidrico.eu,Societa' per azioni (S.p.a.),3299,03258180987,manuela.tosini@a2a.eu,Via LAMARMORA 230 - 25124 Brescia (Brescia),Via LAMARMORA 230 - 25124 Brescia (Brescia),00390303554315,
STET SPA - SERVIZI TERRITORIALI EST TRENTINO,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua#main-content,PDF,DYNAMICWEB,PER_LOCALITA,http://www.stetspa.it,Societa' per azioni (S.p.a.),424,01812230223,info@stetspa.it,Viale Venezia 2/E - 38057 Pergine Valsugana (Trento),Viale Venezia 2/E - 38057 Pergine Valsugana (Trento),00390461518000,https://www.stetspa.it/attivita/acquedotto/carta-del-servizio
AMIAS SERVIZI SRL,https://comunediselvino.it/contenuti/64184/qualita-acqua,SCANNER,STATICWEB,PER_COMUNE,http://www.comunediselvino.it,Societa' a responsabilita limitata (S.r.l.),433,02127560163,pierangelo.bertocchi@amiasservizi.it,Corso MILANO  19 - 24020 Selvino (Bergamo),Corso MILANO  19 - 24020 Selvino (Bergamo),0039035764530,
SEAB - SERVIZI ENERGIA AMBIENTE BOLZANO S.P.A. / SEAB - ENERGIE- UMWELTBETRIEBE BOZEN A.G.,https://www.seab.bz.it/it/privati/lacqua-di-bolzano,SCANNER,STATICWEB,PER_PUNTO_PRELIEVO,http://www.seab.bz.it,Societa' per azioni (S.p.a.),436,02231010212,info@seab.bz.it,Via LANCIA 4/A - 39100 Bolzano/Bozen (Bolzano/Bozen),Via LANCIA 4/A - 39100 Bolzano/Bozen (Bolzano/Bozen),00390471541700,https://www.seab.bz.it/sites/default/files/field_document/charta_dei_servizi.pdf
AZIENDA PUBBLISERVIZI BRUNICO,https://ambiente.provincia.bz.it/acqua/qualita-acqua-nostri-acquedotti-dettaglio.asp,XLS,STATICWEB,PER_COMUNE,http://www.pubbliservizi.it,ALTRO,5,00734480213,info@pubbliservizi.it,Via ANELLO NORD 19 - 39031 Brunico/Bruneck (Bolzano/Bozen),Via ANELLO NORD 19 - 39031 Brunico/Bruneck (Bolzano/Bozen),00390474533533,
ACQUE DEL CHIAMPO S.P.A. SERVIZIO IDRICO INTEGRATO,https://www.acquedelchiampospa.it/analisi-acqua/analisi/Analisi-primo-quadrimestre-2019-it-0311-it-0315,PDF,STATICWEB,PER_COMUNE,http://www.acquedelchiampospa.it,Societa' per azioni (S.p.a.),630,02728750247,info@acquedelchiampospa.it,Via Ferraretta 20 - 36071 Arzignano (Vicenza),Via Ferraretta 20 - 36071 Arzignano (Vicenza),00390444459111,
BIM GESTIONE SERVIZI PUBBLICI SPA,https://www.bimgsp.it/idrico/acqua-di-rubinetto-pura-e-controllata/,HTML,DYNAMICWEB,PER_VIA,http://www.gestioneservizipubblici.bl.it/,Societa' per azioni (S.p.a.),692,00971870258,servizio.coan@gsp.bl.it,Via Tiziano Vecellio 27/29 - 32100 Belluno (Belluno),Via Tiziano Vecellio 27/29 - 32100 Belluno (Belluno),00390437933933,https://www.bimgsp.it/media/62943/carta_del_servizio_idrico_integrato.pdf
IRISACQUA SRL,http://www.irisacqua.it/it/20617/Qualita-dell-acqua-erogata,PDF,STATICWEB,PER_FONTE,http://www.irisacqua.it,Societa' a responsabilita limitata (S.r.l.),7396,01070220312,info@irisacqua.it,Via IX AGOSTO 15 - 34170 Gorizia (Gorizia),Via IX AGOSTO 15 - 34170 Gorizia (Gorizia),00390481593108,http://www.irisacqua.it/ProxyVFS.axd/null/r20321/Carta-del-Servizio-Idrico-Integrato-pdf?ext=.pdf
UNIACQUE SPA,https://www.uniacque.bg.it/qualita-dellacqua/i-parametri-del-tuo-comune/,HTML,DYNAMICWEB,PER_PUNTO_PRELIEVO,http://www.uniacque.bg.it,Societa' per azioni (S.p.a.),7462,03299640163,info@uniacque.bg.it,Via delle Canovine 21 - 24126 Bergamo (Bergamo),Via delle Canovine 21 - 24126 Bergamo (Bergamo),00390353070111,
AZIENDA GARDESANA SERVIZI SPA,http://www.ags.vr.it/qualita_acqua_analisi_acque.asp,PDF,STATICWEB,PER_COMUNE,http://www.ags.vr.it,Societa' per azioni (S.p.a.),8246,01855890230,ags@ags.vr.it,Via 11 SETTEMBRE 24 - 37019 Peschiera del Garda (Verona),Via 11 SETTEMBRE 24 - 37019 Peschiera del Garda (Verona),00390456445211,http://www.ags.vr.it/carta_dei_servizi.asp
ACEGAS AMGA S.P.A.,http://www.acegasapsamga.it/attivita_servizi/acqua_ciclo_idrico/qualita_controllo/,PDF,STATICWEB,MEDIA_COMUNI,http://www.acegasapsamga.it,Societa' per azioni (S.p.a.),926,00930530324,info.pd@acegasapsamga.it,Via del Teatro 5 - 34121 Trieste (Trieste),Corso Stati Uniti 5/A - 35127 Padova (Padova),00390498280511,http://www.atobacchiglione.it/sites/www.atobacchiglione.it/files/paginabase/201910/regolamento_sii_acegasapsamga.pdf
ALTO GARDA SERVIZI SPA,https://www.altogardaservizi.com/acqua-fognatura/qualita-servizio,PDF,STATICWEB,PER_LOCALITA,http://www.altogardaservizi.com,Societa' per azioni (S.p.a.),927,01581060223,info@altogardaservizi.com,Via ARDARO 27 - 38066 Riva del Garda (Trento),Via ARDARO 27 - 38066 Riva del Garda (Trento),00390464520895,https://www.altogardaservizi.com/acqua-fognatura/servizio-acqua-ciclo-idrico
PROVINCIA AUTONOMA DI BOLZANO,https://ambiente.provincia.bz.it/acqua/qualita-acqua-nostri-acquedotti-dettaglio.asp,XLS,STATICWEB,PER_COMUNE,https://ambiente.provincia.bz.it/,,993,,,,,,
Acqua Novara.VCO S.p.A.,https://www.acquanovaravco.eu/AnalisiAcqua?id=qualita-dell-acqua,XLS,STATICWEB,PER_COMUNE,https://www.acquanovaravco.eu/,,AcquaNovara,,,,,,
SMAT Società Acque Metropolitane di Torino,https://www.smatorino.it/monitoraggio-acque/,,,,https://www.smatorino.it/monitoraggio-acque/,,SMATTorino,,,,,,
