alias_address,alias_city,geocode,geometry,georeferencingString
LOCALITA' SOCOL,CORTINA D'AMPEZZO,"Località Socol, Pian del Lago, Acquabona, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1528453, 46.5076146]}",CORTINA D'AMPEZZO  SOCOL
VIA DORIGUZZI ROSSIN,DANTA DI CADORE,"Via Doriguzzi Rossin, Danta di Cadore, Belluno, Veneto, 32045, Italia","{'type': 'Point', 'coordinates': [12.5216872, 46.5665591]}",DANTA DI CADORE VIA DORIGUZZI ROSSIN
VIA G. MARCONI,DANTA DI CADORE,"Via G. Marconi, Danta di Cadore, Belluno, Veneto, 32045, Italia","{'type': 'Point', 'coordinates': [12.5101112, 46.5690977]}",DANTA DI CADORE VIA G. MARCONI
VIA GERA,DANTA DI CADORE,"Via Gera, Danta di Cadore, Belluno, Veneto, 32045, Italia","{'type': 'Point', 'coordinates': [12.5203949, 46.5670724]}",DANTA DI CADORE VIA GERA
VIA MAZZINI,DANTA DI CADORE,"Via Giuseppe Mazzini, Danta di Cadore, Belluno, Veneto, 32045, Italia","{'type': 'Point', 'coordinates': [12.5214743, 46.5672136]}",DANTA DI CADORE VIA MAZZINI
VIA PAPA LUCIANI,DANTA DI CADORE,"Via Papa Luciani, Danta di Cadore, Belluno, Veneto, 32045, Italia","{'type': 'Point', 'coordinates': [12.5132528, 46.5683316]}",DANTA DI CADORE VIA PAPA LUCIANI
VIA ROMA,DANTA DI CADORE,"Danta di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.517302, 46.566029]}",DANTA DI CADORE VIA ROMA
VIA VITTIME DELLE FOIBE,DANTA DI CADORE,"Via Vittime delle Foibe, Danta di Cadore, Belluno, Veneto, 32045, Italia","{'type': 'Point', 'coordinates': [12.5239143, 46.5669627]}",DANTA DI CADORE VIA VITTIME DELLE FOIBE
LOCALITA' COLOGNA,DOMEGGE DI CADORE,"Piani di Cologna, Domegge di Cadore, Belluno, Veneto, 32042, Italia","{'type': 'Point', 'coordinates': [12.4080686, 46.4464017]}",DOMEGGE DI CADORE  COLOGNA
LOCALITA' LA VAL,DOMEGGE DI CADORE,"Val, Domegge di Cadore, Belluno, Veneto, 32040, Italia","{'type': 'Point', 'coordinates': [12.4213316, 46.461928]}",DOMEGGE DI CADORE  LA VAL
LOCALITA' SACEIDO,DOMEGGE DI CADORE,"Valle Saceido, Domegge di Cadore, Belluno, Veneto, 32040, Italia","{'type': 'Point', 'coordinates': [12.4346194, 46.4534568]}",DOMEGGE DI CADORE  SACEIDO
VIA CALVI,DOMEGGE DI CADORE,"Via Calvi, Vallesella, Domegge di Cadore, Belluno, Veneto, 32040, Italia","{'type': 'Point', 'coordinates': [12.4122025, 46.4646549]}",DOMEGGE DI CADORE VIA CALVI
VIA CIALOI,DOMEGGE DI CADORE,"Via Cialoi, Vallesella, Domegge di Cadore, Belluno, Veneto, 32040, Italia","{'type': 'Point', 'coordinates': [12.4158914, 46.4629919]}",DOMEGGE DI CADORE VIA CIALOI
VIA CRODOLA,DOMEGGE DI CADORE,"Crodola, Domegge di Cadore, Belluno, Veneto, 32042, Italia","{'type': 'Point', 'coordinates': [12.4059682, 46.4537524]}",DOMEGGE DI CADORE VIA CRODOLA
VIA DEPPO,DOMEGGE DI CADORE,"Via Deppo, Vallesella, Domegge di Cadore, Belluno, Veneto, 32040, Italia","{'type': 'Point', 'coordinates': [12.4131474, 46.4629711]}",DOMEGGE DI CADORE VIA DEPPO
VIA FIUME,DOMEGGE DI CADORE,"Via Fiume, Vallesella, Domegge di Cadore, Belluno, Veneto, 32040, Italia","{'type': 'Point', 'coordinates': [12.4265993, 46.4665793]}",DOMEGGE DI CADORE VIA FIUME
VIA GARIBALDI,DOMEGGE DI CADORE,"Via Garibaldi, Vallesella, Domegge di Cadore, Belluno, Veneto, 32040, Italia","{'type': 'Point', 'coordinates': [12.4142537, 46.4603421]}",DOMEGGE DI CADORE VIA GARIBALDI
VIA GEI,DOMEGGE DI CADORE,"Via Gei, Vallesella, Domegge di Cadore, Belluno, Veneto, 32042, Italia","{'type': 'Point', 'coordinates': [12.4114508, 46.4569504]}",DOMEGGE DI CADORE VIA GEI
VIA MILANO,DOMEGGE DI CADORE,"Domegge di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4158245, 46.4603762]}",DOMEGGE DI CADORE VIA MILANO
LOCALITA' TABIADON DI VAL,FALCADE,"Via Tabiadon di Val, Caviola, Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8938935, 46.36963]}",FALCADE  TABIADON DI VAL
LOCALITA' AI LACH,FALCADE,"Malga ai Lach, sentiero cai 694, Somor, Falcade, Belluno, Veneto, Italia",,FALCADE  AI LACH
LOCALITA' FALCADE ALTO,FALCADE,"Falcade Alto, SP346, Falcade Alto (Gèsia), Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8585267, 46.3552962]}",FALCADE  FALCADE ALTO
LOCALITA' LE COSTE,FALCADE,"Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8721358, 46.3580293]}",FALCADE  LE COSTE
LOCALITA' MENEGHINA,FALCADE,"Meneghina, Falcade Alto (Gèsia), Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.878319355537874, 46.3706063]}",FALCADE  MENEGHINA
LOCALITA' SAPPADE,FALCADE,"Sappade, Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.883421121351429, 46.3698966]}",FALCADE  SAPPADE
LOCALITA' SOMOR,FALCADE,"Somor, Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8606867, 46.3583775]}",FALCADE  SOMOR
LOCALITA' VALT,FALCADE,"Valt, Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.870009975069305, 46.36903665]}",FALCADE  VALT
PIAZZA AUGUSTO MURER,FALCADE,"Piazza Augusto Murer, Falcade Alto (Gèsia), Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.860122978048782, 46.3520015]}",FALCADE PIAZZA AUGUSTO MURER
PIAZZA MOLINO,FALCADE,"Molino, Via Scola, Falcade Alto (Gèsia), Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8592786, 46.3493661]}",FALCADE PIAZZA MOLINO
PIAZZA MUNICIPIO,FALCADE,"Municipio, Via Tacon, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.915091331883367, 46.360449450000004]}",FALCADE PIAZZA MUNICIPIO
PIAZZALE DELLO SPORT,FALCADE,"Piazzale dello Sport, Somor, Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8709448, 46.3559703]}",FALCADE PIAZZALE DELLO SPORT
VIA ALDO MORO,FALCADE,"Via Aldo Moro, Caviola, Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8974367, 46.367223]}",FALCADE VIA ALDO MORO
VIA ANGELO SCOLA,FALCADE,"Via Angelo Scola, Falcade Alto (Gèsia), Falcade, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8621514, 46.3524991]}",FALCADE VIA ANGELO SCOLA
BORGO DEI MENEGAT,FELTRE,"Borgo dei Menegat, Vellai, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9363363, 46.0070408]}",FELTRE BORGO DEI MENEGAT
BORGO LA PRESIDENZA,FELTRE,"Borgo la Presidenza, Sanzan, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9382484, 46.004162]}",FELTRE BORGO LA PRESIDENZA
FRAZIONE ANZU',FELTRE,"Anzù, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9337513, 46.008148]}",FELTRE  ANZU'
FRAZIONE ARSON,FELTRE,"Arson, Feltre, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9310417, 46.0744695]}",FELTRE  ARSON
FRAZIONE CANAL,FELTRE,"Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9062541, 46.0163755]}",FELTRE  CANAL
FRAZIONE CART,FELTRE,"Cart, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9348287, 46.0412464]}",FELTRE  CART
FRAZIONE FARRA,FELTRE,"Farra, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.896422, 46.0250671]}",FELTRE  FARRA
FRAZIONE FOEN,FELTRE,"Foen, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9082415, 46.0415587]}",FELTRE  FOEN
FRAZIONE GRUM,FELTRE,"Grum, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9235023, 46.064598]}",FELTRE  GRUM
FRAZIONE LAMEN,FELTRE,"Lamen, Feltre, Belluno, Veneto, 32034, Italia","{'type': 'Point', 'coordinates': [11.8874584, 46.0586107]}",FELTRE  LAMEN
FRAZIONE LASEN,FELTRE,"Lasen, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9151475, 46.0722056]}",FELTRE  LASEN
FRAZIONE MUGNAI,FELTRE,"Mugnai, Feltre, Belluno, Veneto, 32034, Italia","{'type': 'Point', 'coordinates': [11.8662966, 46.0123216]}",FELTRE  MUGNAI
FRAZIONE NEMEGGIO,FELTRE,"Nemeggio, Feltre, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9709045, 46.0295686]}",FELTRE  NEMEGGIO
FRAZIONE PREN,FELTRE,"Pren, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.8945227, 46.0573417]}",FELTRE  PREN
FRAZIONE SANZAN,FELTRE,"Sanzan, Feltre, Belluno, Veneto, 32038, Italia","{'type': 'Point', 'coordinates': [11.9406799, 45.9781656]}",FELTRE  SANZAN
FRAZIONE TOMO,FELTRE,"Tomo, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.8942362, 46.0042043]}",FELTRE  TOMO
FRAZIONE UMIN,FELTRE,"Umin, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9230269, 46.0557361]}",FELTRE  UMIN
FRAZIONE VIGNUI,FELTRE,"Vignui, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9111155, 46.0607445]}",FELTRE  VIGNUI
FRAZIONE VILLABRUNA,FELTRE,"Villabruna, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9319361, 46.0597859]}",FELTRE  VILLABRUNA
FRAZIONE VILLAGA,FELTRE,"Via Villaga, Tomo, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9063414, 46.0078526]}",FELTRE  VILLAGA
FRAZIONE VILLAPAIERA,FELTRE,"Villapaiera, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9571098, 46.0213641]}",FELTRE  VILLAPAIERA
LOCALITA' ZERMEN,FELTRE,"Zermen, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9412071, 46.0228108]}",FELTRE  ZERMEN
PIAZZA A. CAMBRUZZI,FELTRE,"Piazza Antonio Cambruzzi, Borgo Ruga, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9097552, 46.0163061]}",FELTRE PIAZZA A. CAMBRUZZI
PIAZZA BRENTA,FELTRE,"Piazza Brenta, Pasquer, Feltre, Belluno, Veneto, 32032, Italia","{'type': 'Point', 'coordinates': [11.9252799, 46.0253502]}",FELTRE PIAZZA BRENTA
LOCALITA' MONTE RONCON,FONZASO,"Via Monte Roncon, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8220465, 46.0052455]}",FONZASO  MONTE RONCON
LOCALITA' PEDESALTO,FONZASO,"Fonzaso-Pedesalto, Via Primiero, Casoni, Fonzaso, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7809687, 46.0212451]}",FONZASO  PEDESALTO
PIAZZA ANGELI,FONZASO,"Piazza Angeli, Casoni, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.7975705, 46.0183663]}",FONZASO PIAZZA ANGELI
PIAZZA CHIESA,FONZASO,"Piazza Chiesa, Casoni, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.7987782, 46.0193759]}",FONZASO PIAZZA CHIESA
PIAZZA ITALIA,FONZASO,"Piazza Italia, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8310126, 46.0081613]}",FONZASO PIAZZA ITALIA
VIA A. BASSANI,FONZASO,"Via Bassani, Case Balzan, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8048843, 46.0127669]}",FONZASO VIA A. BASSANI
VIA A. ZUCCO,FONZASO,"Via A. Zucco, Casoni, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.7991268, 46.0173803]}",FONZASO VIA A. ZUCCO
VIA AGANA,FONZASO,"Strada per Agana, Case al colle di Baio, Fonzaso, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7858166, 45.9961364]}",FONZASO VIA AGANA
VIA ALDO MORO,FONZASO,"Via Aldo Moro, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8284771, 46.0063392]}",FONZASO VIA ALDO MORO
VIA ARSIE',FONZASO,"Via Arsiè, Case Balzan, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8022346, 46.0111661]}",FONZASO VIA ARSIE'
VIA BELVEDERE,FONZASO,"Via Belvedere, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8264363, 46.010656]}",FONZASO VIA BELVEDERE
VIA BROLO DE PANTZ,FONZASO,"Via Brolo de Pantz, Case Balzan, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8051107, 46.0135911]}",FONZASO VIA BROLO DE PANTZ
VIA CALDERAL,FONZASO,"Via Calderal, Case Balzan, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8078901, 46.0065261]}",FONZASO VIA CALDERAL
VIA CANOSSIANE,FONZASO,"Via Canossiane, Case Balzan, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8026682, 46.0165414]}",FONZASO VIA CANOSSIANE
VIA CASE BALZAN,FONZASO,"Case Balzan, Fonzaso, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7986488, 45.9951052]}",FONZASO VIA CASE BALZAN
VIA DANTE,FONZASO,"via Dante, Casoni, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8018638, 46.0158097]}",FONZASO VIA DANTE
VIA DEGLI ALPINI,FONZASO,"Via degli Alpini, Case Balzan, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8068889, 46.012601]}",FONZASO VIA DEGLI ALPINI
VIA DON PIETRO CORSO,FONZASO,"Via Don Pietro Corso, Casoni, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8009895, 46.0168504]}",FONZASO VIA DON PIETRO CORSO
VIA E. FERRARI,FONZASO,"Via Enzo Ferrari, Case Balzan, Fonzaso, Belluno, Veneto, 32030, Italia","{'type': 'Point', 'coordinates': [11.8119776, 46.0064149]}",FONZASO VIA E. FERRARI
PIAZZA SALVO D'ACQUISTO,GOSALDO,"Piazza Salvo D'Acquisto, Spagnoi, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.955967833605477, 46.22053085]}",GOSALDO PIAZZA SALVO D'ACQUISTO
VIA BEZZOI,GOSALDO,"Bezzoi, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.962159, 46.2047776]}",GOSALDO VIA BEZZOI
VIA BITTI,GOSALDO,"Bitti, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9911912, 46.212937]}",GOSALDO VIA BITTI
VIA CARRERA,GOSALDO,"Carrera, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9588759, 46.20301]}",GOSALDO VIA CARRERA
VIA CAVALLERA,GOSALDO,"Via Cavallera, Sant'Andrea, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9561443, 46.22871]}",GOSALDO VIA CAVALLERA
VIA CENCI,GOSALDO,"Via Cenci, Cenci, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0023187, 46.2295926]}",GOSALDO VIA CENCI
VIA CIET,GOSALDO,"Ciet, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9320375, 46.2093594]}",GOSALDO VIA CIET
VIA CODA,GOSALDO,"Coda, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9463339, 46.2043837]}",GOSALDO VIA CODA
VIA COLTAMAI,GOSALDO,"Coltamai, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9840849, 46.2154585]}",GOSALDO VIA COLTAMAI
VIA CROCE ROSSA,GOSALDO,"Via Croce Rossa, Spagnoi, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9581352, 46.2223133]}",GOSALDO VIA CROCE ROSSA
VIA CURTI,GOSALDO,"Curti, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9982899, 46.2238022]}",GOSALDO VIA CURTI
VIA DELUBI,GOSALDO,"Delubi, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0007146, 46.2321001]}",GOSALDO VIA DELUBI
VIA DOMADORE,GOSALDO,"Domadore, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9282105, 46.2171813]}",GOSALDO VIA DOMADORE
VIA DON,GOSALDO,"Gosaldo, SP347, Corone, Voltago Agordino, Belluno, Veneto, 32027, Italia","{'type': 'Point', 'coordinates': [11.95467, 46.22165]}",GOSALDO VIA DON
VIA FAUSTIN,GOSALDO,"Faustin, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9326402, 46.2115238]}",GOSALDO VIA FAUSTIN
VIA FORCELLA AURINE,GOSALDO,"Forcella Aurine, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9752444, 46.2369239]}",GOSALDO VIA FORCELLA AURINE
VIA FORCELLA FRANCHE,GOSALDO,"Forcella Franche, Strada Provinciale della Val Imperina, Le Feste, Gosaldo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0132306, 46.2333108]}",GOSALDO VIA FORCELLA FRANCHE
VIA INCASAL,GOSALDO,"Incasal, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.997217, 46.2226146]}",GOSALDO VIA INCASAL
VIA LAMBROI,GOSALDO,"Lambroi, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9961442, 46.2213972]}",GOSALDO VIA LAMBROI
VIA LAVEDER,GOSALDO,"Laveder, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9882531, 46.2215457]}",GOSALDO VIA LAVEDER
VIA LE CASE,GOSALDO,"Case, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0009292, 46.225361]}",GOSALDO VIA LE CASE
VIA LE FESTE,GOSALDO,"Via Le Feste, Le Feste, Gosaldo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9636586, 46.2212453]}",GOSALDO VIA LE FESTE
LOCALITA' CUGNAGO,LA VALLE AGORDINA,"Cugnago, Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0708418, 46.2859348]}",LA VALLE AGORDINA  CUGNAGO
VIA CANCELLADE,LA VALLE AGORDINA,"Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0555869, 46.2711837]}",LA VALLE AGORDINA VIA CANCELLADE
VIA CHIESA,LA VALLE AGORDINA,"via Chiesa, Chiesa, Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0682164, 46.28191]}",LA VALLE AGORDINA VIA CHIESA
VIA CONAGGIA,LA VALLE AGORDINA,"Conaggia, Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0741825, 46.2827705]}",LA VALLE AGORDINA VIA CONAGGIA
VIA FADES,LA VALLE AGORDINA,"Fades, Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0674283, 46.2835691]}",LA VALLE AGORDINA VIA FADES
VIA GAIDON,LA VALLE AGORDINA,"Gaidon, Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.063867, 46.2771135]}",LA VALLE AGORDINA VIA GAIDON
VIA LANTRAGO,LA VALLE AGORDINA,"Lantrago, Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0645852, 46.2815374]}",LA VALLE AGORDINA VIA LANTRAGO
VIA LE CAMPE,LA VALLE AGORDINA,"Le Campe, Strada Regionale 203 Agordina, Crostolin, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0408992, 46.2624137]}",LA VALLE AGORDINA VIA LE CAMPE
VIA MATTEN,LA VALLE AGORDINA,"Località Matten, Conaggia, Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0738592, 46.2843204]}",LA VALLE AGORDINA VIA MATTEN
VIA RONCHE,LA VALLE AGORDINA,"Ronche, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0532295, 46.2728202]}",LA VALLE AGORDINA VIA RONCHE
VIA TORSAS,LA VALLE AGORDINA,"Torsas, Cancellade, La Valle Agordina, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.065835, 46.2795633]}",LA VALLE AGORDINA VIA TORSAS
LOCALITA' LE EI,LAMON,"Le Ei, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7270654, 46.0696761]}",LAMON  LE EI
P.LE DUOMO,LAMON,"Piazza Duomo, Cies, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7488666, 46.0471772]}",LAMON P.LE DUOMO
P.ZZA 3 NOVEMBRE,LAMON,"Piazza 3 Novembre, Cies, Lamon, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.74869042091317, 46.0469953]}",LAMON P.ZZA 3 NOVEMBRE
VIA A.SLONGO,LAMON,"Via A. Slongo, Col delle Vigne, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7516586, 46.0503143]}",LAMON VIA A.SLONGO
VIA BARBETTA,LAMON,"Barbetta, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7087466, 46.0303698]}",LAMON VIA BARBETTA
VIA BORE,LAMON,"Via Bore, Piei, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7485934, 46.0457943]}",LAMON VIA BORE
VIA BOVE,LAMON,"Via Bove, Pian del Vescovo, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7513154, 46.039001]}",LAMON VIA BOVE
VIA CAMPIGOTTI,LAMON,"Campigotti, Lamon, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.694314, 46.0414989]}",LAMON VIA CAMPIGOTTI
VIA CANDIOLE,LAMON,"Via Candiole, Pezzè, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.742811, 46.0516478]}",LAMON VIA CANDIOLE
VIA CARMELE,LAMON,"Via Carmele, Col delle Vigne, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7465341, 46.0523441]}",LAMON VIA CARMELE
VIA CENTRO ARINA,LAMON,"Arina, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7300326, 46.0336031]}",LAMON VIA CENTRO ARINA
VIA CESURE,LAMON,"Via Cesure, Pezzè, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7471522, 46.0499]}",LAMON VIA CESURE
VIA CHIAPPINI,LAMON,"Chiappini, Lamon, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6936045, 46.0286643]}",LAMON VIA CHIAPPINI
VIA CHIOLLI,LAMON,"I Chiolli, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7247569, 46.0340467]}",LAMON VIA CHIOLLI
VIA CIES,LAMON,"Cies, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7569318, 46.038815]}",LAMON VIA CIES
VIA CISMON,LAMON,"Via Cismon, Col delle Vigne, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7534612, 46.0515228]}",LAMON VIA CISMON
FRAZIONE CANAI,LENTIAI,"Canai, Borgo Valbelluna, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0012285, 46.0186265]}",LENTIAI  CANAI
FRAZIONE CESANA,LENTIAI,"Cesana, Borgo Valbelluna, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9926259, 46.0386982]}",LENTIAI  CESANA
FRAZIONE COLDERU',LENTIAI,"Lentiai, Borgo Valbelluna, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0109344126145, 46.010094050000006]}",LENTIAI  COLDERU'
FRAZIONE STABIE,LENTIAI,"Lentiai, Borgo Valbelluna, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0109344126145, 46.010094050000006]}",LENTIAI  STABIE
LARGO EUROPA,LENTIAI,"Largo Europa, Lentiai, Borgo Valbelluna, Belluno, Veneto, 32035, Italia","{'type': 'Point', 'coordinates': [12.0199447, 46.0452901]}",LENTIAI LARGO EUROPA
LOCALITA' VILLAPIANA,LENTIAI,"Villapiana, Borgo Valbelluna, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0023336, 46.039147]}",LENTIAI  VILLAPIANA
PIAZZA CHAMARANDE,LENTIAI,"Piazza Chamarande, Lentiai, Borgo Valbelluna, Belluno, Veneto, 32035, Italia","{'type': 'Point', 'coordinates': [12.0231473, 46.0453861]}",LENTIAI PIAZZA CHAMARANDE
PIAZZA CRIVELLARO,LENTIAI,"Piazza Crivellaro, Lentiai, Borgo Valbelluna, Belluno, Veneto, 32035, Italia","{'type': 'Point', 'coordinates': [12.0219029, 46.0447944]}",LENTIAI PIAZZA CRIVELLARO
PIAZZA DEGLI ALPINI,LENTIAI,"Piazza degli Alpini, Lentiai, Borgo Valbelluna, Belluno, Veneto, 32035, Italia","{'type': 'Point', 'coordinates': [12.0197427, 46.043311]}",LENTIAI PIAZZA DEGLI ALPINI
VIA ACHILLE ZAMPESE,LENTIAI,"Via Achille Zampese, Lentiai, Borgo Valbelluna, Belluno, Veneto, 32035, Italia","{'type': 'Point', 'coordinates': [12.0159132, 46.0434883]}",LENTIAI VIA ACHILLE ZAMPESE
