alias_address,alias_city,georeferencingString
,Follina</strong> <br />,Follina
Pedeguarda,Follina</strong> <br />,Follina  Pedeguarda
Valmareno,Follina</strong> <br />,Follina  Valmareno
,Fonte</strong> <br />,Fonte
Fonte Alto,Fonte</strong> <br />,Fonte  Fonte Alto
Onè,Fonte</strong> <br />,Fonte  Onè
Cusignana,Giavera del Montello</strong> <br />,Giavera del Montello  Cusignana
San Rocco,Giavera del Montello</strong> <br />,Giavera del Montello  San Rocco
Giavera del Montello,Giavera del Montello </strong> <br />,Giavera del Montello   Giavera del Montello
Santi Angeli,Giavera del Montello </strong> <br />,Giavera del Montello   Santi Angeli
,Istrana</strong> <br />,Istrana
Ospedaletto,Istrana</strong> <br />,Istrana  Ospedaletto
Pezzan,Istrana</strong> <br />,Istrana  Pezzan
Villanova,Istrana</strong> <br />,Istrana  Villanova
Bessica,Loria</strong> <br />,Loria  Bessica
Castione,Loria</strong> <br />,Loria  Castione
,Loria</strong> <br />,Loria
Ramon,Loria</strong> <br />,Loria  Ramon
Coste,Maser</strong> <br />,Maser  Coste
Crespignana,Maser</strong> <br />,Maser  Crespignana
Madonna della Salute,Maser</strong> <br />,Maser  Madonna della Salute
,Maser</strong> <br />,Maser
Candelù,Maserada sul Piave</strong> <br />,Maserada sul Piave  Candelù
,Maserada sul Piave</strong> <br />,Maserada sul Piave
Varago,Maserada sul Piave</strong> <br />,Maserada sul Piave  Varago
Campea,Miane</strong> <br />,Miane  Campea
Colmellere,Miane</strong> <br />,Miane  Colmellere
Combai,Miane</strong> <br />,Miane  Combai
,Miane</strong> <br />,Miane
Premaor,Miane</strong> <br />,Miane  Premaor
Forner,Monfumo</strong> <br />,Monfumo  Forner
,Monfumo</strong> <br />,Monfumo
Biadene,Montebelluna</strong> <br />,Montebelluna  Biadene
Busta,Montebelluna</strong> <br />,Montebelluna  Busta
Caonada,Montebelluna</strong> <br />,Montebelluna  Caonada
Centro,Montebelluna</strong> <br />,Montebelluna  Centro
Contea e Posmon,Montebelluna</strong> <br />,Montebelluna  Contea e Posmon
Guarda,Montebelluna</strong> <br />,Montebelluna  Guarda
Mercato Vecchio,Montebelluna</strong> <br />,Montebelluna  Mercato Vecchio
Pederiva,Montebelluna</strong> <br />,Montebelluna  Pederiva
San Gaetano,Montebelluna</strong> <br />,Montebelluna  San Gaetano
Sant\'Andrea,Montebelluna</strong> <br />,Montebelluna  Sant\'Andrea
Moriago della Batt.,Moriago della Battaglia</strong> <br />,Moriago della Battaglia  Moriago della Batt.
Mosnigo,Moriago della Battaglia</strong> <br />,Moriago della Battaglia  Mosnigo
Casoni,Mussolente</strong> <br />,Mussolente  Casoni
,Mussolente</strong> <br />,Mussolente
Bavaria,Nervesa della Battaglia</strong> <br />,Nervesa della Battaglia  Bavaria
Bidasio,Nervesa della Battaglia</strong> <br />,Nervesa della Battaglia  Bidasio
Nervesa d. B.,Nervesa della Battaglia</strong> <br />,Nervesa della Battaglia  Nervesa d. B.
Santa Croce,Nervesa della Battaglia</strong> <br />,Nervesa della Battaglia  Santa Croce
Fietta,Paderno del Grappa</strong> <br />,Paderno del Grappa  Fietta
,Paderno del Grappa</strong> <br />,Paderno del Grappa
San Liberale,Paderno del Grappa</strong> <br />,Paderno del Grappa  San Liberale
Castagnole,Paese</strong> <br />,Paese  Castagnole
Padernello,Paese</strong> <br />,Paese  Padernello
,Paese</strong> <br />,Paese
Porcellengo,Paese</strong> <br />,Paese  Porcellengo
Postioma,Paese</strong> <br />,Paese  Postioma
Covolo,Pederobba</strong> <br />,Pederobba  Covolo
Curogna,Pederobba</strong> <br />,Pederobba  Curogna
Levada,Pederobba</strong> <br />,Pederobba  Levada
Onigo,Pederobba</strong> <br />,Pederobba  Onigo
,Pederobba</strong> <br />,Pederobba
Barbisano,Pieve di Soligo</strong> <br />,Pieve di Soligo  Barbisano
,Pieve di Soligo</strong> <br />,Pieve di Soligo
Solighetto,Pieve di Soligo</strong> <br />,Pieve di Soligo  Solighetto
Al Sasso,Ponzano Veneto</strong> <br />,Ponzano Veneto  Al Sasso
Merlengo,Ponzano Veneto</strong> <br />,Ponzano Veneto  Merlengo
Paderno,Ponzano Veneto</strong> <br />,Ponzano Veneto  Paderno
,Ponzano Veneto</strong> <br />,Ponzano Veneto
Cunial,Possagno</strong> <br />,Possagno  Cunial
,Possagno</strong> <br />,Possagno
Camalò,Povegliano</strong> <br />,Povegliano  Camalò
,Povegliano</strong> <br />,Povegliano
Santandrà,Povegliano</strong> <br />,Povegliano  Santandrà
Caorera,Quero,Quero Caorera
Carpen,Quero,Quero Carpen
Marziai,Quero,Quero Marziai
Quero,Quero,Quero Quero
Scalon,Quero,Quero Scalon
Schievenin,Quero,Quero Schievenin
Vas,Quero,Quero Vas
Refrontolo (intero territorio),Refrontolo</strong> <br />,Refrontolo  Refrontolo (intero territorio)
Lago,Revine Lago</strong> <br />,Revine Lago  Lago
,Revine Lago</strong> <br />,Revine Lago
Santa Maria,Revine Lago</strong> <br />,Revine Lago  Santa Maria
Poggiana,Riese Pio X</strong> <br />,Riese Pio X  Poggiana
,Riese Pio X</strong> <br />,Riese Pio X
Spineda,Riese Pio X</strong> <br />,Riese Pio X  Spineda
Vallà,Riese Pio X</strong> <br />,Riese Pio X  Vallà
Cà Rainati,San Zenone degli Ezzelini</strong> <br />,San Zenone degli Ezzelini  Cà Rainati
,San Zenone degli Ezzelini</strong> <br />,San Zenone degli Ezzelini
Milies & Stramare,Segusino</strong> <br />,Segusino  Milies & Stramare
,Segusino</strong> <br />,Segusino
Falzè di Piave,Sernaglia della Battaglia</strong> <br />,Sernaglia della Battaglia  Falzè di Piave
Fontigo,Sernaglia della Battaglia</strong> <br />,Sernaglia della Battaglia  Fontigo
,Sernaglia della Battaglia</strong> <br />,Sernaglia della Battaglia
Lovadina,Spresiano</strong> <br />,Spresiano  Lovadina
,Spresiano</strong> <br />,Spresiano
Visnadello,Spresiano</strong> <br />,Spresiano  Visnadello
Colmaggiore,Tarzo</strong> <br />,Tarzo  Colmaggiore
Corbanese,Tarzo</strong> <br />,Tarzo  Corbanese
Fratta,Tarzo</strong> <br />,Tarzo  Fratta
,Tarzo</strong> <br />,Tarzo
Falzè,Trevignano</strong> <br />,Trevignano  Falzè
Musano,Trevignano</strong> <br />,Trevignano  Musano
Signoressa,Trevignano</strong> <br />,Trevignano  Signoressa
,Trevignano</strong> <br />,Trevignano
Canizzano,Treviso</strong> <br />,Treviso  Canizzano
Centro,Treviso</strong> <br />,Treviso  Centro
Fiera,Treviso</strong> <br />,Treviso  Fiera
San Giuseppe,Treviso</strong> <br />,Treviso  San Giuseppe
San Liberale,Treviso</strong> <br />,Treviso  San Liberale
San Pelajo,Treviso</strong> <br />,Treviso  San Pelajo
San Zeno,Treviso</strong> <br />,Treviso  San Zeno
Santa Bona,Treviso</strong> <br />,Treviso  Santa Bona
Santa Maria del Rovere,Treviso</strong> <br />,Treviso  Santa Maria del Rovere
Sant\'Angelo,Treviso</strong> <br />,Treviso  Sant\'Angelo
Sant\'Antonino,Treviso</strong> <br />,Treviso  Sant\'Antonino
Selvana,Treviso</strong> <br />,Treviso  Selvana
Zona Castellana,Treviso</strong> <br />,Treviso   Castellana
Zona Sacro Cuore,Treviso</strong> <br />,Treviso   Sacro Cuore
Zona San Pio X,Treviso</strong> <br />,Treviso   San Pio X
Bigolino,Valdobbiadene</strong> <br />,Valdobbiadene  Bigolino
Guia,Valdobbiadene</strong> <br />,Valdobbiadene  Guia
Pianezze,Valdobbiadene</strong> <br />,Valdobbiadene  Pianezze
San Giovanni,Valdobbiadene</strong> <br />,Valdobbiadene  San Giovanni
San Vito,Valdobbiadene</strong> <br />,Valdobbiadene  San Vito
Santo Stefano,Valdobbiadene</strong> <br />,Valdobbiadene  Santo Stefano
,Valdobbiadene</strong> <br />,Valdobbiadene
Albaredo,Vedelago</strong> <br />,Vedelago  Albaredo
Barcon,Vedelago</strong> <br />,Vedelago  Barcon
Carpenedo & Cavasagra,Vedelago</strong> <br />,Vedelago  Carpenedo & Cavasagra
Casacorba,Vedelago</strong> <br />,Vedelago  Casacorba
Fanzolo,Vedelago</strong> <br />,Vedelago  Fanzolo
Fossalunga,Vedelago</strong> <br />,Vedelago  Fossalunga
,Vedelago</strong> <br />,Vedelago
Bosco,Vidor</strong> <br />,Vidor  Bosco
Colbertando,Vidor</strong> <br />,Vidor  Colbertando
,Vidor</strong> <br />,Vidor
Carità,Villorba</strong> <br />,Villorba  Carità
Catena,Villorba</strong> <br />,Villorba  Catena
Fontane,Villorba</strong> <br />,Villorba  Fontane
Lancenigo,Villorba</strong> <br />,Villorba  Lancenigo
San Sisto,Villorba</strong> <br />,Villorba  San Sisto
,Villorba</strong> <br />,Villorba
Selva del Montello,Volpago del Montello</strong> <br />,Volpago del Montello  Selva del Montello
Venegazzù,Volpago del Montello</strong> <br />,Volpago del Montello  Venegazzù
Santa Maria della Vittoria,Volpago del Montello </strong> <br />,Volpago del Montello   Santa Maria della Vittoria
Volpago del Montello,Volpago del Montello </strong> <br />,Volpago del Montello   Volpago del Montello
