alias_address,alias_city,georeferencingString,type
CapoluogoFontana all'angolo tra Via Liguria e Via Valle d'Aosta,Acquedotto di Biella,"Capoluogo Fontana all'angolo tra Via Liguria e Via Valle d'Aosta, Biella, BI, Piemonte",POINT
CapoluogoFontana dell'Orso presso i Giardini Zumaglini,Acquedotto di Biella,"Capoluogo Fontana dell'Orso presso i Giardini Zumaglini, Biella, BI, Piemonte",POINT
Frazione Biella PiazzoFontana di Piazza Cisterna,Acquedotto di Biella,"Frazione Biella Piazzo Fontana di Piazza Cisterna, Biella, BI, Piemonte",POINT
"Biella PiazzoFontana del Bottalino, Via Ramella Germanin",Acquedotto di Biella,"Biella Piazzo Fontana del Bottalino, Via Ramella Germanin, Biella, BI, Piemonte",POINT
Frazione ChiavazzaFontana di Piazza D.F.M. Gatto,Acquedotto di Biella,"Frazione Chiavazza Fontana di Piazza D.F.M. Gatto, Biella, BI, Piemonte",POINT
Frazione Cossila S.GratoFontana di Piazza G.De Mosso,Acquedotto di Biella,"Frazione Cossila S.Grato Fontana di Piazza G.De Mosso, Biella, BI, Piemonte",POINT
Frazione FavaroFontana di Strada per Oropa al n° 591,Acquedotto di Biella,"Frazione Favaro Fontana di Strada per Oropa al n° 591, Biella, BI, Piemonte",POINT
Frazione PavignanoFontana di Via Bertamelina,Acquedotto di Biella,"Frazione Pavignano Fontana di Via Bertamelina, Biella, BI, Piemonte",POINT
CapoluogoFontana presso la chiesa di S.Biagio.,Acquedotto di Biella,"Capoluogo Fontana presso la chiesa di S.Biagio., Biella, BI, Piemonte",POINT
ChiavazzaFontana Via Mollie,Acquedotto di Biella,"Chiavazza Fontana Via Mollie, Biella, BI, Piemonte",POINT
"Chiavazza Via Coppa, fontana parco giochi.",Acquedotto di Biella,"Chiavazza Via Coppa, fontana parco giochi., Biella, BI, Piemonte",POINT
Cossila San GiovanniFontana all'incrocio tra la strada di Pralungo e Via Santuario d'Oropa,Acquedotto di Biella,"Cossila San Giovanni Fontana all'incrocio tra la strada di Pralungo e Via Santuario d'Oropa, Biella, BI, Piemonte",POINT
Capoluogo.Fontana municipio.,Acquedotto di Camandona,"Capoluogo. Fontana municipio., Camandona, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Camandona,"CapoluogoServizi igienici del Municipio, Camandona, BI, Piemonte",POINT
Frazione PianezzeFontana pubblica,Acquedotto di Camandona,"Frazione Pianezze Fontana pubblica, Camandona, BI, Piemonte",POINT
CapoluogoFontana Municipio,Acquedotto di Camandona,"Capoluogo Fontana Municipio, Camandona, BI, Piemonte",POINT
Pianezzefontana del parco giochi,Acquedotto di Camandona,"Pianezzefontana del parco giochi, Camandona, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Camburzano,"CapoluogoServizi igienici del Municipio, Camburzano, BI, Piemonte",POINT
CapoluogoFontana presso il Municipio,Acquedotto di Camburzano,"Capoluogo Fontana presso il Municipio, Camburzano, BI, Piemonte",POINT
Frazione IondiniFontana Chiesa,Acquedotto di Campiglia Cervo,"Frazione Iondini Fontana Chiesa, Campiglia Cervo, BI, Piemonte",POINT
CapoluogoFontana municipio,Acquedotto di Campiglia Cervo,"Capoluogo Fontana municipio, Campiglia Cervo, BI, Piemonte",POINT
Frazione Valmoscafontana,Acquedotto di Campiglia Cervo,"Frazione Valmoscafontana, Campiglia Cervo, BI, Piemonte",POINT
Frazione ForgnengoFontana lungo strada,Acquedotto di Campiglia Cervo,"Frazione Forgnengo Fontana lungo strada, Campiglia Cervo, BI, Piemonte",POINT
Frazione PiaroFontana lungo strada,Acquedotto di Campiglia Cervo,"Frazione Piaro Fontana lungo strada, Campiglia Cervo, BI, Piemonte",POINT
Capoluogo.Fontana Iondini.,Acquedotto di Campiglia Cervo,"Capoluogo. Fontana Iondini., Campiglia Cervo, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Candelo,"CapoluogoServizi igienici del Municipio, Candelo, BI, Piemonte",POINT
Capoluogoservizi ufficio tecnico,Acquedotto di Candelo,"Capoluogoservizi ufficio tecnico, Candelo, BI, Piemonte",POINT
Capoluogo.Servizi igienici dell'ufficio tecnico.,Acquedotto di Candelo,"Capoluogo.Servizi igienici dell'ufficio tecnico., Candelo, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Casapinta,"CapoluogoServizi igienici del Municipio, Casapinta, BI, Piemonte",POINT
CapoluogoFontana del Parco Giochi,Acquedotto di Casapinta,"Capoluogo Fontana del Parco Giochi, Casapinta, BI, Piemonte",POINT
CapoluogoFontana del Municipio,Acquedotto di Cerreto Castello,"Capoluogo Fontana del Municipio, Cerreto Castello, BI, Piemonte",POINT
Capoluogo.Servizi scuola materna.,Acquedotto di Cerreto Castello,"Capoluogo.Servizi scuola materna., Cerreto Castello, BI, Piemonte",POINT
CapoluogoFontana pubblica dei giardini di Via Pajetta-Amendola,Acquedotto di Cossato,"Capoluogo Fontana pubblica dei giardini di Via Pajetta-Amendola, Cossato, BI, Piemonte",POINT
CapoluogoFontana pubblica di Via Remo Pella,Acquedotto di Cossato,"Capoluogo Fontana pubblica di Via Remo Pella, Cossato, BI, Piemonte",POINT
CapoluogoFontana pubblica di Via Vercellotto,Acquedotto di Cossato,"Capoluogo Fontana pubblica di Via Vercellotto, Cossato, BI, Piemonte",POINT
Frazione BattianaFontana pubblica,Acquedotto di Cossato,"Frazione Battiana Fontana pubblica, Cossato, BI, Piemonte",POINT
Frazione LorazzoFontana pubblica,Acquedotto di Cossato,"Frazione Lorazzo Fontana pubblica, Cossato, BI, Piemonte",POINT
Frazione LorazzoAsilo nido,Acquedotto di Cossato,"Frazione LorazzoAsilo nido, Cossato, BI, Piemonte",POINT
Frazione SpolinaServizi igienici Scuola Materna,Acquedotto di Cossato,"Frazione SpolinaServizi igienici Scuola Materna, Cossato, BI, Piemonte",POINT
CapoluogoPotabilizzatore A.I.V.,Acquedotto di Cossato,"CapoluogoPotabilizzatore A.I.V., Cossato, BI, Piemonte",POINT
Fraz. CastellengoFontana Cimitero,Acquedotto di Cossato,"Fraz. Castellengo Fontana Cimitero, Cossato, BI, Piemonte",POINT
CapoluogoFontana di Piazza Perotti,Acquedotto di Cossato,"Capoluogo Fontana di Piazza Perotti, Cossato, BI, Piemonte",POINT
CapoluogoPotabilizzatore AIV entrata filtri,Acquedotto di Cossato,"CapoluogoPotabilizzatore AIV entrata filtri, Cossato, BI, Piemonte",POINT
CapoluogoPotabilizzatore AIV uscita filtri,Acquedotto di Cossato,"CapoluogoPotabilizzatore AIV uscita filtri, Cossato, BI, Piemonte",POINT
Frazione Spolinarubinetto cucina scuola materna,Acquedotto di Cossato,"Frazione Spolinarubinetto cucina scuola materna, Cossato, BI, Piemonte",POINT
CapoluogoServizi igienici Municipio,Acquedotto di Crosa,"CapoluogoServizi igienici Municipio, Crosa, BI, Piemonte",POINT
CapoluogoFontana Cimitero,Acquedotto di Crosa,"Capoluogo Fontana Cimitero, Crosa, BI, Piemonte",POINT
CapoluogoServizi igienici Municipio,Acquedotto di Gaglianico,"CapoluogoServizi igienici Municipio, Gaglianico, BI, Piemonte",POINT
CapoluogoServizi igienici delle scuole medie.,Acquedotto di Gaglianico,"CapoluogoServizi igienici delle scuole medie., Gaglianico, BI, Piemonte",POINT
CapoluogoServizi igienici Municipio,Acquedotto di Lessona,"CapoluogoServizi igienici Municipio, Lessona, BI, Piemonte",POINT
Capoluogofontana Via XI Febbraio,Acquedotto di Lessona,"Capoluogofontana Via XI Febbraio, Lessona, BI, Piemonte",POINT
Capoluogo.Fontana Municipio.,Acquedotto di Lessona,"Capoluogo. Fontana Municipio., Lessona, BI, Piemonte",POINT
CapoluogoFontana di via dell'acqua.,Acquedotto di Lessona,"Capoluogo Fontana di via dell'acqua., Lessona, BI, Piemonte",POINT
CapoluogoFontana del Municipio,Acquedotto di Magnano,"Capoluogo Fontana del Municipio, Magnano, BI, Piemonte",POINT
Comunità di BoseServizi igienici della Comunità,Acquedotto di Magnano,"Comunità di BoseServizi igienici della Comunità, Magnano, BI, Piemonte",POINT
Località BroglinaServizi igienici del ristorante,Acquedotto di Magnano,"Località BroglinaServizi igienici del ristorante, Magnano, BI, Piemonte",POINT
Frazione Broglina.Fontana.,Acquedotto di Magnano,"Frazione Broglina. Fontana., Magnano, BI, Piemonte",POINT
"CapoluogoFontana pubblica, via Q. Sella",Acquedotto di Mosso,"Capoluogo Fontana pubblica, via Q. Sella, Mosso, BI, Piemonte",POINT
Frazione PistolesaFontana giardini via Roma .,Acquedotto di Mosso,"Frazione Pistolesa Fontana giardini via Roma ., Mosso, BI, Piemonte",POINT
Frazione Pistolesa.Punto ASL.,Acquedotto di Mosso,"Frazione Pistolesa.Punto ASL., Mosso, BI, Piemonte",POINT
CapoluogoFontana della piazza parrocchiale,Acquedotto di Muzzano,"Capoluogo Fontana della piazza parrocchiale, Muzzano, BI, Piemonte",POINT
CapoluogoServizi igienici Municipio,Acquedotto di Muzzano,"CapoluogoServizi igienici Municipio, Muzzano, BI, Piemonte",POINT
CapoluogoServizi igienici Municipio,Acquedotto di Occhieppo Inferiore,"CapoluogoServizi igienici Municipio, Occhieppo Inferiore, BI, Piemonte",POINT
Capoluogo.Fontana di via Villa.,Acquedotto di Occhieppo Inferiore,"Capoluogo. Fontana di via Villa., Occhieppo Inferiore, BI, Piemonte",POINT
"Capoluogo.Casa di riposo Cerino Zegna, cucina.",Acquedotto di Occhieppo Inferiore,"Capoluogo.Casa di riposo Cerino Zegna, cucina., Occhieppo Inferiore, BI, Piemonte",POINT
CapoluogoServizi igienici Municipio,Acquedotto di Occhieppo Superiore,"CapoluogoServizi igienici Municipio, Occhieppo Superiore, BI, Piemonte",POINT
Frazione GalfioneLavatoio,Acquedotto di Occhieppo Superiore,"Frazione GalfioneLavatoio, Occhieppo Superiore, BI, Piemonte",POINT
CapoluogoFontana posta sulla piazza del municipio.,Acquedotto di Occhieppo Superiore,"Capoluogo Fontana posta sulla piazza del municipio., Occhieppo Superiore, BI, Piemonte",POINT
CapoluogoFontana del parco giochi,Acquedotto di Pettinengo,"Capoluogo Fontana del parco giochi, Pettinengo, BI, Piemonte",POINT
CapoluogoServizi igienici Municipio,Acquedotto di Pettinengo,"CapoluogoServizi igienici Municipio, Pettinengo, BI, Piemonte",POINT
Fraz.San FrancescoFontana Cimitero,Acquedotto di Pettinengo,"Fraz.San Francesco Fontana Cimitero, Pettinengo, BI, Piemonte",POINT
Capoluogo.Fontana cimitero.,Acquedotto di Pettinengo,"Capoluogo. Fontana cimitero., Pettinengo, BI, Piemonte",POINT
Capoluogofontana dei giardini di Via Bellia,Acquedotto di Pettinengo,"Capoluogofontana dei giardini di Via Bellia, Pettinengo, BI, Piemonte",POINT
Capoluogofontana dei giardini di Via Bellia,Acquedotto di Pettinengo,"Capoluogofontana dei giardini di Via Bellia, Pettinengo, BI, Piemonte",POINT
CapoluogoFontana pubblica,Acquedotto di Piatto,"Capoluogo Fontana pubblica, Piatto, BI, Piemonte",POINT
CapoluogoFontana del parco giochi,Acquedotto di Piedicavallo,"Capoluogo Fontana del parco giochi, Piedicavallo, BI, Piemonte",POINT
Frazione MontesinaroFontana pubblica,Acquedotto di Piedicavallo,"Frazione Montesinaro Fontana pubblica, Piedicavallo, BI, Piemonte",POINT
Capoluogo.Fontana sulla via che conduce al parco giochi,Acquedotto di Piedicavallo,"Capoluogo. Fontana sulla via che conduce al parco giochi, Piedicavallo, BI, Piemonte",POINT
CapoluogoFontana presso le Scuole Elementari,Acquedotto di Pollone,"Capoluogo Fontana presso le Scuole Elementari, Pollone, BI, Piemonte",POINT
CapoluogoServizi igienici delle Scuole Medie,Acquedotto di Pollone,"CapoluogoServizi igienici delle Scuole Medie, Pollone, BI, Piemonte",POINT
Capoluogo.Servizi igienici delle scuole elementari.,Acquedotto di Pollone,"Capoluogo.Servizi igienici delle scuole elementari., Pollone, BI, Piemonte",POINT
CapoluogoFontana presso il campo sportivo,Acquedotto di Ponderano,"Capoluogo Fontana presso il campo sportivo, Ponderano, BI, Piemonte",POINT
CapoluogoMunicipio servizi igienici.,Acquedotto di Ponderano,"CapoluogoMunicipio servizi igienici., Ponderano, BI, Piemonte",POINT
CapoluogoServizi igienici Municipio,Acquedotto di Pralungo,"CapoluogoServizi igienici Municipio, Pralungo, BI, Piemonte",POINT
Frazione ValleFontana pubblica,Acquedotto di Pralungo,"Frazione Valle Fontana pubblica, Pralungo, BI, Piemonte",POINT
Frazione S. EurosiaFontana pubblica presso l'Alp Hotel,Acquedotto di Pralungo,"Frazione S. Eurosia Fontana pubblica presso l'Alp Hotel, Pralungo, BI, Piemonte",POINT
"Capoluogo.Piazza martiri della libertà,fontana del parco giochi.",Acquedotto di Pralungo,"Capoluogo.Piazza martiri della libertà,fontana del parco giochi., Pralungo, BI, Piemonte",POINT
capoluogoFontana Zerbole,Acquedotto di Pralungo,"capoluogo Fontana Zerbole, Pralungo, BI, Piemonte",POINT
CapoluogoFontana di Via Parlamento,Acquedotto di Quaregna,"Capoluogo Fontana di Via Parlamento, Quaregna, BI, Piemonte",POINT
CapoluogoFontana del Municipio,Acquedotto di Quittengo,"Capoluogo Fontana del Municipio, Quittengo, BI, Piemonte",POINT
Frazione RialmossoFontana pubblica,Acquedotto di Quittengo,"Frazione Rialmosso Fontana pubblica, Quittengo, BI, Piemonte",POINT
Frazione SassaiaFontana pubblica,Acquedotto di Quittengo,"Frazione Sassaia Fontana pubblica, Quittengo, BI, Piemonte",POINT
CapoluogoFontana Bogna,Acquedotto di Quittengo,"Capoluogo Fontana Bogna, Quittengo, BI, Piemonte",POINT
CapoluogoFontana palestra di roccia,Acquedotto di Quittengo,"Capoluogo Fontana palestra di roccia, Quittengo, BI, Piemonte",POINT
CapoluogoFontana presso il Municipio,Acquedotto di Ronco Biellese,"Capoluogo Fontana presso il Municipio, Ronco Biellese, BI, Piemonte",POINT
CapoluogoServizi igienici delle Scuole elementari,Acquedotto di Ronco Biellese,"CapoluogoServizi igienici delle Scuole elementari, Ronco Biellese, BI, Piemonte",POINT
Capoluogo.Servizi igienici del municipio.,Acquedotto di Ronco Biellese,"Capoluogo.Servizi igienici del municipio., Ronco Biellese, BI, Piemonte",POINT
CapoluogoFontana di Via Q. Sella,Acquedotto di Rosazza,"Capoluogo Fontana di Via Q. Sella, Rosazza, BI, Piemonte",POINT
Capoluogofontana piazza F. Rosazza,Acquedotto di Rosazza,"Capoluogofontana piazza F. Rosazza, Rosazza, BI, Piemonte",POINT
Frazione MortigliengoFontana pubblica,Acquedotto di S.Paolo Cervo,"Frazione Mortigliengo Fontana pubblica, S.Paolo Cervo, BI, Piemonte",POINT
Frazione PianaFontana pubblica,Acquedotto di S.Paolo Cervo,"Frazione Piana Fontana pubblica, S.Paolo Cervo, BI, Piemonte",POINT
Frazione RiabellaFontana pubblica,Acquedotto di S.Paolo Cervo,"Frazione Riabella Fontana pubblica, S.Paolo Cervo, BI, Piemonte",POINT
Fraz. Orettofontana,Acquedotto di S.Paolo Cervo,"Fraz. Orettofontana, S.Paolo Cervo, BI, Piemonte",POINT
Capoluogo.Servizi igienici del Municipio,Acquedotto di Sala Biellese,"Capoluogo.Servizi igienici del Municipio, Sala Biellese, BI, Piemonte",POINT
Frazione BornascoFontana pubblica,Acquedotto di Sala Biellese,"Frazione Bornasco Fontana pubblica, Sala Biellese, BI, Piemonte",POINT
capoluogofontana parco giochi,Acquedotto di Sala Biellese,"capoluogofontana parco giochi, Sala Biellese, BI, Piemonte",POINT
Bornascofontana di Bornasco,Acquedotto di Sala Biellese,"Bornascofontana di Bornasco, Sala Biellese, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Selve Marcone,"CapoluogoServizi igienici del Municipio, Selve Marcone, BI, Piemonte",POINT
Frazione BaltigatiEsercizio pubblico .,Acquedotto di Soprana,"Frazione BaltigatiEsercizio pubblico ., Soprana, BI, Piemonte",POINT
Frazione CereieFontana pubblica,Acquedotto di Soprana,"Frazione Cereie Fontana pubblica, Soprana, BI, Piemonte",POINT
Frazione CerrutiServizi igienici delle Scuole,Acquedotto di Soprana,"Frazione CerrutiServizi igienici delle Scuole, Soprana, BI, Piemonte",POINT
Frazione LanvarioFontana pubblica,Acquedotto di Soprana,"Frazione Lanvario Fontana pubblica, Soprana, BI, Piemonte",POINT
Frazione VioglioFontana pubblica,Acquedotto di Soprana,"Frazione Vioglio Fontana pubblica, Soprana, BI, Piemonte",POINT
Frazione BaltigatiFontana del Parco giochi,Acquedotto di Soprana,"Frazione Baltigati Fontana del Parco giochi, Soprana, BI, Piemonte",POINT
Fraz. MolinengoFontana pubblica,Acquedotto di Soprana,"Fraz. Molinengo Fontana pubblica, Soprana, BI, Piemonte",POINT
Frazione Lanvario.Servizi Municipio.,Acquedotto di Soprana,"Frazione Lanvario.Servizi Municipio., Soprana, BI, Piemonte",POINT
CapoluogoFontana di piazza del Municipio,Acquedotto di Sordevolo,"Capoluogo Fontana di piazza del Municipio, Sordevolo, BI, Piemonte",POINT
Frazione S. GratoFontana di piazza S. Grato,Acquedotto di Sordevolo,"Frazione S. Grato Fontana di piazza S. Grato, Sordevolo, BI, Piemonte",POINT
CapoluogoServizi igienici del supermercato,Acquedotto di Strona,"CapoluogoServizi igienici del supermercato, Strona, BI, Piemonte",POINT
CapoluogoFontana presso il Teatro,Acquedotto di Strona,"Capoluogo Fontana presso il Teatro, Strona, BI, Piemonte",POINT
Frazione QuarioPozzetto,Acquedotto di Strona,"Frazione QuarioPozzetto, Strona, BI, Piemonte",POINT
Fraz. CAPPIORubinetto pensile,Acquedotto di Strona,"Fraz. CAPPIORubinetto pensile, Strona, BI, Piemonte",POINT
Fraz. FoglioPozzetto,Acquedotto di Strona,"Fraz. FoglioPozzetto, Strona, BI, Piemonte",POINT
Fraz. Piana BoeroPozzetto.,Acquedotto di Strona,"Fraz. Piana BoeroPozzetto., Strona, BI, Piemonte",POINT
Fraz. CaligarisPozzetto,Acquedotto di Strona,"Fraz. CaligarisPozzetto, Strona, BI, Piemonte",POINT
Frazione FoglioRubinetto esterno.,Acquedotto di Strona,"Frazione FoglioRubinetto esterno., Strona, BI, Piemonte",POINT
Frazione Gronda.Rubinetto pozzetto.,Acquedotto di Strona,"Frazione Gronda.Rubinetto pozzetto., Strona, BI, Piemonte",POINT
Frazione Prina.Fontana lavatoio.,Acquedotto di Strona,"Frazione Prina. Fontana lavatoio., Strona, BI, Piemonte",POINT
Capoluogofontana Municipio,Acquedotto di Ternengo,"Capoluogofontana Municipio, Ternengo, BI, Piemonte",POINT
Fraz. Villafontana pubblica,Acquedotto di Ternengo,"Fraz. Villafontana pubblica, Ternengo, BI, Piemonte",POINT
Fraz Valserafontana pubblica,Acquedotto di Ternengo,"Fraz Valserafontana pubblica, Ternengo, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Tollegno,"CapoluogoServizi igienici del Municipio, Tollegno, BI, Piemonte",POINT
Capoluogo.Fontana Municipio.,Acquedotto di Tollegno,"Capoluogo. Fontana Municipio., Tollegno, BI, Piemonte",POINT
Capoluogo.Fontana del campo sportivo.,Acquedotto di Tollegno,"Capoluogo. Fontana del campo sportivo., Tollegno, BI, Piemonte",POINT
CapoluogoFontana di via Martiri della Libertà,Acquedotto di Torrazzo,"Capoluogo Fontana di via Martiri della Libertà, Torrazzo, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Valdengo,"CapoluogoServizi igienici del Municipio, Valdengo, BI, Piemonte",POINT
CapoluogoFontana Cimitero,Acquedotto di Valdengo,"Capoluogo Fontana Cimitero, Valdengo, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Vallemosso,"CapoluogoServizi igienici del Municipio, Vallemosso, BI, Piemonte",POINT
CapoluogoFontana del condominio Giardino,Acquedotto di Vallemosso,"Capoluogo Fontana del condominio Giardino, Vallemosso, BI, Piemonte",POINT
Frazione SimoneCircolo Arci,Acquedotto di Vallemosso,"Frazione SimoneCircolo Arci, Vallemosso, BI, Piemonte",POINT
Capoluogo.Servizi igienici scuole elementari.,Acquedotto di Vallemosso,"Capoluogo.Servizi igienici scuole elementari., Vallemosso, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Veglio,"CapoluogoServizi igienici del Municipio, Veglio, BI, Piemonte",POINT
Frazione RomaninaEsercizio privato (concessionaria),Acquedotto di Veglio,"Frazione RomaninaEsercizio privato (concessionaria), Veglio, BI, Piemonte",POINT
CapoluogoFontana del Parco giochi,Acquedotto di Veglio,"Capoluogo Fontana del Parco giochi, Veglio, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Verrone,"CapoluogoServizi igienici del Municipio, Verrone, BI, Piemonte",POINT
CapoluogoFontana di Via Comotto,Acquedotto di Vigliano,"Capoluogo Fontana di Via Comotto, Vigliano Biellese, BI, Piemonte",POINT
CapoluogoFontana del Parco giochi,Acquedotto di Vigliano,"Capoluogo Fontana del Parco giochi, Vigliano Biellese, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Zimone,"CapoluogoServizi igienici del Municipio, Zimone, BI, Piemonte",POINT
CapoluogoFontana retro municipio,Acquedotto di Zimone,"Capoluogo Fontana retro municipio, Zimone, BI, Piemonte",POINT
Capoluogo.Fontana lungo strada.,Acquedotto di Zimone,"Capoluogo. Fontana lungo strada., Zimone, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Zumaglia,"CapoluogoServizi igienici del Municipio, Zumaglia, BI, Piemonte",POINT
CapoluogoFontana di Via Gallo Ditzer,Acquedotto di Zumaglia,"Capoluogo Fontana di Via Gallo Ditzer, Zumaglia, BI, Piemonte",POINT
CapoluogoServizi igienici dell'ufficio postale.,Acquedotto di Zumaglia,"CapoluogoServizi igienici dell'ufficio postale., Zumaglia, BI, Piemonte",POINT
